time,cpu_frequency,cpu_usage,sda_usage,active_power,power_time
20241107152115,800,0.985,0.0,22.73097,20241107152117
20241107152529,800,0.9924,0.0,23.47158,20241107152528
20241107152645,800,0.98,0.0,22.95491,20241107152648
20241107153111,800,0.9523,0.0,23.31779,20241107153118
20241107153227,800,0.9899,0.0,22.75255,20241107153229
20241107153652,800,0.9924,0.004,25.1646,20241107153659
20241107153807,800,0.9924,0.0,22.67296,20241107153809
20241107154224,800,0.9598,0.004,22.75255,20241107154225
20241107154338,800,0.9874,0.0,22.77684,20241107154335
20241107154750,800,0.9824,0.0,22.95625,20241107154755
20241107154905,800,0.9526,0.116,23.06687,20241107154905
20241107155319,800,0.9121,0.04,29.82816,20241107155316
20241107155433,800,0.9673,0.132,24.52786,20241107155436
20241107155841,800,0.898,0.048,22.87396,20241107155846
20241107155956,800,0.9874,0.004,23.01966,20241107155956
20241107160412,800,0.9544,0.064,22.58797,20241107160417
20241107160527,800,0.9924,0.0,22.94276,20241107160527
20241107160939,800,0.9824,0.032,23.3812,20241107160937
20241107161054,800,0.9924,0.0,22.70534,20241107161057
20241107161506,800,0.871,0.0,25.44924,20241107161508
20241107161621,800,0.9824,0.0,22.85103,20241107161628
20241107162034,800,0.9571,0.0,24.08269,20241107162038
20241107162150,800,0.9825,0.0,23.20448,20241107162159
20241107162603,800,0.9378,0.008,22.91174,20241107162609
20241107162718,800,0.98,0.0,22.82135,20241107162719
20241107163139,800,0.9825,0.0,28.62753,20241107163134
20241107163254,800,0.9825,0.008,23.06957,20241107163255
20241107163711,800,0.9348,0.096,22.88206,20241107163715
20241107163826,800,0.9825,0.0,22.97109,20241107163825
20241107164247,800,0.9874,0.0,30.01972,20241107164246
20241107164403,800,0.9899,0.0,22.86857,20241107164406
20241107164822,800,0.8536,0.056,22.79168,20241107164826
20241107164937,800,0.9874,0.0,22.86992,20241107164936
20241107165351,800,0.9825,0.0,22.79033,20241107165357
20241107165507,800,0.9825,0.0,23.07632,20241107165507
20241107165918,800,0.9169,0.08,23.61862,20241107165917
20241107170033,800,0.9874,0.0,22.71478,20241107170037
20241107170451,800,0.925,0.06,23.29081,20241107170458
20241107170606,800,0.9924,0.0,22.98054,20241107170608
20241107171021,800,0.9444,0.036,23.71306,20241107171028
20241107171136,800,0.9874,0.0,23.48237,20241107171138
20241107171559,800,0.9496,0.036,23.40683,20241107171559
20241107171714,800,0.9874,0.0,22.87531,20241107171719
20241107172120,800,0.9773,0.008,22.80382,20241107172129
20241107172235,800,0.9899,0.0,22.86857,20241107172239
20241107172647,800,0.9695,0.112,29.77959,20241107172645
20241107172802,800,0.9774,0.024,24.87726,20241107172805
20241107173215,800,0.9751,0.032,22.8942,20241107173215
20241107173331,800,0.9874,0.0,22.89825,20241107173336
20241107173747,800,0.9373,0.036,28.8744,20241107173746
20241107173902,800,0.9701,0.032,22.59607,20241107173906
20241107174309,800,0.9574,0.068,30.28008,20241107174307
20241107174424,800,0.9726,0.032,22.77414,20241107174427
20241107174838,800,0.938,0.0,24.60206,20241107174837
20241107174952,800,0.9799,0.024,22.8227,20241107174957
20241107175415,800,0.9499,0.036,22.77549,20241107175418
20241107175529,800,0.9849,0.032,22.86183,20241107175528
20241107175938,800,0.9551,0.004,24.86512,20241107175938
20241107180053,800,0.9873,0.028,23.82368,20241107180058
20241107180507,800,0.9378,0.032,24.75719,20241107180509
20241107180622,800,0.98,0.0,22.62305,20241107180629
20241107181043,800,0.9874,0.032,22.84563,20241107181049
20241107181158,800,0.975,0.032,23.10195,20241107181159
20241107181615,800,0.9848,0.032,23.68608,20241107181615
20241107181735,800,0.98,0.0,22.75255,20241107181735
20241107182148,800,0.9874,0.0,23.29081,20241107182145
20241107182303,800,0.9824,0.02,22.60011,20241107182306
20241107182719,800,0.903,0.04,29.7661,20241107182716
20241107182833,800,0.985,0.0,22.63519,20241107182836
20241107183255,800,0.8697,0.08,24.04356,20241107183257
20241107183410,800,0.9848,0.0,22.90229,20241107183417
20241107183824,800,0.9899,0.0,24.46716,20241107183827
20241107183940,800,0.9899,0.0,22.74851,20241107183947
20241107184403,800,0.8333,0.048,22.77144,20241107184408
20241107184517,800,0.9825,0.008,23.70226,20241107184518
20241107184940,800,0.9749,0.032,23.39064,20241107184948
20241107185055,800,0.9825,0.0,22.60147,20241107185058
20241107185510,800,0.9775,0.0,23.11409,20241107185519
20241107185625,800,0.9849,0.0,22.76335,20241107185629
20241107190041,800,0.8622,0.056,23.06957,20241107190049
20241107190155,800,0.9874,0.0,22.65138,20241107190159
20241107190620,800,0.8456,0.036,22.94546,20241107190625
20241107190735,800,0.9924,0.008,22.73771,20241107190735
20241107191149,800,0.933,0.0,23.35287,20241107191145
20241107191304,800,0.9874,0.0,22.73232,20241107191306
20241107191717,800,0.7866,0.028,25.14706,20241107191716
20241107191831,800,0.985,0.0,23.0372,20241107191836
20241107192247,800,0.7543,0.056,23.11949,20241107192247
20241107192402,800,0.9874,0.0,23.66989,20241107192407
20241107192818,800,0.842,0.072,23.58895,20241107192817
20241107192933,800,0.9774,0.04,22.59202,20241107192937
20241107193346,800,0.7525,0.04,26.75374,20241107193348
20241107193501,800,0.9653,0.0,22.77144,20241107193508
20241107193915,800,0.9398,0.04,22.8308,20241107193918
20241107194030,800,0.9874,0.0,25.46948,20241107194038
20241107194445,800,0.9825,0.004,22.7647,20241107194449
20241107194600,800,0.9924,0.0,27.00196,20241107194609
20241107195021,800,0.955,0.0,22.88071,20241107195029
20241107195136,800,0.9825,0.0,22.77684,20241107195139
20241107195600,800,0.9924,0.0,22.74041,20241107195605
20241107195715,800,0.9924,0.0,22.65947,20241107195715
20241107200127,800,0.9449,0.024,30.9438,20241107200125
20241107200242,800,0.9749,0.056,22.71208,20241107200245
20241107200656,800,0.9899,0.0,24.22298,20241107200656
20241107200811,800,0.985,0.0,22.69994,20241107200816
20241107201239,800,0.9424,0.0,23.40683,20241107201236
20241107201354,800,0.9776,0.0,22.68106,20241107201356
20241107201812,800,0.9598,0.0,22.74176,20241107201817
20241107201926,800,0.9749,0.048,23.18694,20241107201927
20241107202344,800,0.9672,0.0,23.9896,20241107202347
20241107202458,800,0.9646,0.104,22.76604,20241107202457
20241107202914,800,0.9777,0.0,22.82675,20241107202918
20241107203029,800,0.9799,0.032,22.87936,20241107203028
20241107203449,800,0.9949,0.0,23.3758,20241107203448
20241107203604,800,0.9825,0.004,23.04664,20241107203608
20241107204025,800,0.8772,0.052,22.8915,20241107204029
20241107204140,800,0.9924,0.0,23.13702,20241107204149
20241107204549,800,0.9699,0.012,30.21128,20241107204545
20241107204704,800,0.98,0.0,22.83215,20241107204705
20241107205120,800,0.9144,0.04,24.884,20241107205125
20241107205234,800,0.9621,0.124,23.89248,20241107205235
20241107205652,800,0.8456,0.048,23.51205,20241107205656
20241107205807,800,0.9924,0.0,23.48642,20241107205806
20241107210221,800,0.9899,0.0,23.77916,20241107210226
20241107210336,800,0.9899,0.0,22.90095,20241107210336
20241107210751,800,0.8166,0.064,23.46618,20241107210757
20241107210906,800,0.98,0.0,22.8335,20241107210907
20241107211319,800,0.9653,0.0,23.15186,20241107211317
20241107211434,800,0.9874,0.0,22.77144,20241107211438
20241107211838,800,0.9924,0.004,23.17075,20241107211838
20241107211953,800,0.985,0.0,22.80112,20241107211958
20241107212414,800,0.9899,0.0,22.7593,20241107212419
20241107212529,800,0.9874,0.0,23.93025,20241107212529
20241107212941,800,0.9573,0.028,22.99942,20241107212949
20241107213056,800,0.9874,0.0,22.67431,20241107213059
20241107213508,800,0.8268,0.0,24.28504,20241107213505
20241107213623,800,0.9776,0.0,22.8308,20241107213625
20241107214036,800,0.9675,0.008,27.65354,20241107214035
20241107214151,800,0.9849,0.0,22.89825,20241107214155
20241107214611,800,0.9899,0.0,23.63211,20241107214616
20241107214726,800,0.881,0.348,22.73906,20241107214726
20241107215145,800,0.8547,0.044,22.80517,20241107215146
20241107215300,800,0.9849,0.0,24.6088,20241107215306
20241107215714,800,0.9874,0.0,25.23745,20241107215717
20241107215829,800,0.9751,0.024,22.69994,20241107215827
20241107220252,800,0.9874,0.0,24.43748,20241107220257
20241107220407,800,0.9899,0.0,22.79572,20241107220407
20241107220829,800,0.9824,0.04,26.21684,20241107220828
20241107220943,800,0.9775,0.016,23.64695,20241107220948
20241107221403,800,0.9551,0.0,23.04124,20241107221408
