time,cpu_frequency,cpu_usage,sda_usage,active_power,power_time
20241116113540,800,0.9799,0.028,23.95993,20241116113546
20241116113633,800,0.7971,0.0,22.60551,20241116113636
20241116113748,800,0.9749,0.028,23.94374,20241116113747
20241116113836,800,0.9217,0.0,22.97784,20241116113837
20241116113952,800,0.9825,0.0,22.82945,20241116113957
20241116114044,800,0.9293,0.0,23.11409,20241116114047
20241116114200,800,0.9824,0.004,25.00542,20241116114207
20241116114251,800,0.8444,0.004,22.8335,20241116114257
20241116114407,800,0.9949,0.0,22.81191,20241116114407
20241116114456,800,0.8575,0.0,23.27192,20241116114457
20241116114612,800,0.9724,0.072,23.52959,20241116114617
20241116114704,800,0.8734,0.004,23.08981,20241116114707
20241116114820,800,0.9825,0.008,22.78898,20241116114827
20241116114912,800,0.8667,0.0,22.74851,20241116114917
20241116115027,800,0.9849,0.0,22.71073,20241116115028
20241116115117,800,0.805,0.0,23.45539,20241116115118
20241116115233,800,0.985,0.0,23.61053,20241116115238
20241116115328,800,0.9899,0.004,22.87396,20241116115328
20241116115445,800,0.9899,0.0,23.66854,20241116115448
20241116115532,800,0.9002,0.004,22.90229,20241116115538
20241116115648,800,0.98,0.0,22.70669,20241116115648
20241116115740,800,0.9378,0.0,22.92253,20241116115748
20241116115857,800,0.9776,0.0,22.80921,20241116115858
20241116115949,800,0.9672,0.0,24.49414,20241116115948
20241116120104,800,0.985,0.0,24.10292,20241116120109
20241116120159,800,0.9799,0.036,23.05474,20241116120159
20241116120314,800,0.985,0.0,22.79033,20241116120319
20241116120406,800,0.936,0.0,23.16131,20241116120409
20241116120521,800,0.9874,0.0,23.14242,20241116120529
20241116120614,800,0.9499,0.0,24.52112,20241116120619
20241116120730,800,0.9849,0.0,28.1149,20241116120739
20241116120822,800,0.9426,0.0,23.71306,20241116120829
20241116120938,800,0.9899,0.0,22.69994,20241116120939
20241116121026,800,0.9899,0.0,22.51108,20241116121029
20241116121142,800,0.9849,0.0,25.46543,20241116121145
20241116121234,800,0.9551,0.0,22.92658,20241116121235
20241116121350,800,0.9799,0.0,22.74311,20241116121355
20241116121441,800,0.9595,0.0,23.22741,20241116121445
20241116121557,800,0.9874,0.0,23.16266,20241116121555
20241116121649,800,0.9676,0.0,24.32416,20241116121645
20241116121805,800,0.9776,0.0,23.22741,20241116121805
20241116121902,800,0.9874,0.0,22.89555,20241116121905
20241116122018,800,0.9799,0.004,22.87936,20241116122015
20241116122110,800,0.945,0.0,22.80382,20241116122115
20241116122226,800,0.9824,0.0,22.71613,20241116122225
20241116122320,800,0.9899,0.0,22.57178,20241116122326
20241116122436,800,0.9776,0.0,22.6905,20241116122436
20241116122532,800,0.985,0.0,23.07902,20241116122536
20241116122648,800,0.9751,0.0,22.57718,20241116122646
20241116122742,800,0.9724,0.004,22.71748,20241116122746
20241116122858,800,0.9825,0.0,22.82945,20241116122856
20241116122951,800,0.9572,0.0,22.80517,20241116122956
20241116123107,800,0.98,0.0,22.63519,20241116123106
20241116123159,800,0.9949,0.0,23.59974,20241116123156
20241116123315,800,0.9776,0.0,23.11814,20241116123316
20241116123408,800,0.9548,0.0,22.73502,20241116123406
20241116123524,800,0.9899,0.0,23.96802,20241116123526
20241116123616,800,0.9899,0.0,22.79168,20241116123617
20241116123733,800,0.9825,0.0,22.74581,20241116123737
20241116123828,800,0.9924,0.0,24.96494,20241116123827
20241116123944,800,0.9701,0.0,23.63346,20241116123947
20241116124036,800,0.9523,0.0,22.81596,20241116124037
20241116124152,800,0.9874,0.0,22.94411,20241116124157
20241116124246,800,0.9824,0.028,22.85373,20241116124247
20241116124402,800,0.9825,0.0,22.76739,20241116124407
20241116124452,800,0.9353,0.0,22.71748,20241116124457
20241116124608,800,0.9751,0.0,22.86452,20241116124607
20241116124701,800,0.9526,0.0,22.7539,20241116124708
20241116124816,800,0.9874,0.0,23.68068,20241116124818
20241116124909,800,0.9524,0.0,22.77953,20241116124908
20241116125024,800,0.9899,0.0,22.67701,20241116125028
20241116125120,800,0.9849,0.0,23.68742,20241116125128
20241116125235,800,0.9899,0.0,26.546,20241116125238
20241116125328,800,0.9874,0.0,22.74446,20241116125328
20241116125444,800,0.9849,0.0,22.91578,20241116125448
20241116125538,800,0.975,0.032,22.91848,20241116125538
20241116125654,800,0.98,0.0,22.85913,20241116125659
20241116125747,800,0.8596,0.036,23.05204,20241116125749
20241116125902,800,0.9874,0.0,23.54982,20241116125909
20241116125955,800,0.8766,0.064,24.47255,20241116125959
20241116130110,800,0.9701,0.0,23.22606,20241116130119
20241116130206,800,0.902,0.048,23.46079,20241116130209
20241116130321,800,0.98,0.0,25.12953,20241116130329
20241116130414,800,0.9874,0.0,24.44557,20241116130419
20241116130530,800,0.9874,0.0,27.14226,20241116130539
20241116130623,800,0.871,0.036,23.15456,20241116130625
20241116130738,800,0.9653,0.0,24.58587,20241116130735
20241116130831,800,0.9476,0.0,23.25709,20241116130835
20241116130947,800,0.9776,0.0,22.91039,20241116130945
20241116131036,800,0.9949,0.0,22.8915,20241116131035
20241116131152,800,0.9899,0.0,24.00175,20241116131155
20241116131244,800,0.9696,0.0,22.94951,20241116131245
20241116131400,800,0.9949,0.0,23.75757,20241116131405
20241116131452,800,0.9428,0.0,25.13762,20241116131455
20241116131608,800,0.9825,0.0,22.92928,20241116131605
20241116131704,800,0.985,0.0,24.20545,20241116131706
20241116131820,800,0.9899,0.0,23.99635,20241116131826
20241116131914,800,0.9924,0.0,24.36868,20241116131916
20241116132030,800,0.9825,0.0,23.84256,20241116132036
20241116132121,800,0.9524,0.0,22.79302,20241116132126
20241116132237,800,0.9825,0.0,22.94276,20241116132236
20241116132331,800,0.9799,0.028,22.73906,20241116132336
20241116132447,800,0.9849,0.0,22.86992,20241116132446
20241116132540,800,0.8383,0.04,22.99538,20241116132546
20241116132656,800,0.9874,0.0,22.82405,20241116132656
20241116132750,800,0.9924,0.0,22.74716,20241116132756
20241116132906,800,0.9825,0.0,22.99268,20241116132907
20241116133001,800,0.9899,0.0,22.83889,20241116133007
20241116133116,800,0.9849,0.0,23.03045,20241116133117
20241116133209,800,0.8866,0.0,22.86452,20241116133207
20241116133325,800,0.9849,0.0,23.06013,20241116133327
20241116133419,800,0.985,0.0,22.78763,20241116133417
20241116133535,800,0.9825,0.0,24.2014,20241116133537
20241116133631,800,0.9849,0.0,24.20545,20241116133637
20241116133747,800,0.9924,0.0,22.84833,20241116133747
20241116133839,800,0.9525,0.0,26.46505,20241116133837
20241116133955,800,0.9874,0.0,24.17037,20241116133957
20241116134047,800,0.95,0.0,22.88341,20241116134048
20241116134203,800,0.9899,0.0,22.7593,20241116134208
20241116134259,800,0.7971,0.0,23.0345,20241116134258
20241116134414,800,0.9874,0.0,22.93737,20241116134418
20241116134507,800,0.892,0.032,23.02775,20241116134508
20241116134623,800,0.9924,0.0,22.90769,20241116134628
20241116134716,800,0.7916,0.032,22.46521,20241116134718
20241116134831,800,0.9874,0.0,23.4446,20241116134838
20241116134926,800,0.9825,0.0,23.13433,20241116134929
20241116135042,800,0.9899,0.0,23.86145,20241116135049
20241116135134,800,0.7748,0.0,22.65677,20241116135139
20241116135249,800,0.9849,0.0,22.80112,20241116135249
20241116135346,800,0.8108,0.0,23.21662,20241116135349
20241116135501,800,0.9924,0.004,23.10465,20241116135509
20241116135554,800,0.8128,0.028,22.81731,20241116135559
20241116135710,800,0.985,0.004,26.82254,20241116135719
20241116135802,800,0.8922,0.0,22.62305,20241116135809
20241116135918,800,0.98,0.0,22.82405,20241116135919
20241116140012,800,0.9824,0.0,22.619,20241116140019
20241116140128,800,0.9874,0.0,22.71478,20241116140125
20241116140223,800,0.9899,0.004,23.46754,20241116140225
20241116140339,800,0.9924,0.0,22.75525,20241116140335
20241116140434,800,0.9599,0.0,22.8254,20241116140435
20241116140550,800,0.9825,0.0,23.794,20241116140555
20241116140642,800,0.765,0.0,23.2463,20241116140645
20241116140757,800,0.9849,0.0,22.71748,20241116140755
20241116140850,800,0.7926,0.0,24.10697,20241116140855
20241116141006,800,0.9899,0.0,23.24225,20241116141005
20241116141058,800,0.9548,0.0,22.87396,20241116141056
20241116141214,800,0.9726,0.0,22.69185,20241116141216
20241116141306,800,0.9625,0.0,23.59569,20241116141306
