time,cpu_frequency,cpu_usage,sda_usage,active_power,power_time
20260323173818,800,0.7158,0.0075,,
20260323181558,800,0.7156,0.0075,17.69709,20260323181559
20260323185346,800,0.7155,0.0075,17.78243,20260323185349
20260323193046,800,0.7154,0.0075,17.8104,20260323193049
20260323200731,800,0.7152,0.0075,17.76844,20260323200739
20260323204507,800,0.7151,0.0075,17.71808,20260323204509
20260323212215,800,0.715,0.0075,17.68171,20260323212219
20260323215941,800,0.7148,0.0075,17.70828,20260323215949
20260323223655,800,0.7147,0.0075,17.86356,20260323223659
20260323231436,800,0.7146,0.0075,17.72507,20260323231439
20260323235321,1300,0.7144,0.0075,17.70828,20260323235329
20260324002450,1300,0.7144,0.0075,17.73067,20260324002459
20260324005539,1300,0.7144,0.0075,17.78802,20260324005539
20260324012656,1300,0.7143,0.0075,17.69989,20260324012659
20260324015801,1300,0.7143,0.0075,17.82999,20260324015809
20260324022831,1300,0.7142,0.0075,17.61456,20260324022839
20260324025849,1300,0.7142,0.0075,17.6873,20260324025849
20260324032935,1300,0.7142,0.0075,17.76284,20260324032939
20260324040040,1300,0.7141,0.0075,17.5698,20260324040049
20260324043114,1300,0.7141,0.0075,17.60197,20260324043119
20260324050320,1600,0.714,0.0075,17.62995,20260324050329
20260324053147,1600,0.7141,0.0075,17.85377,20260324053149
20260324055915,1600,0.7141,0.0075,17.67751,20260324055919
20260324062713,1600,0.7141,0.0075,17.66352,20260324062719
20260324065445,1600,0.7141,0.0075,17.67052,20260324065449
20260324072208,1600,0.7141,0.0075,17.77123,20260324072209
20260324074939,1600,0.7142,0.0075,17.69989,20260324074939
20260324081749,1600,0.7142,0.0075,17.77823,20260324081749
20260324084525,1600,0.7142,0.0075,17.79502,20260324084529
20260324091303,1600,0.7142,0.0075,17.71668,20260324091309
20260324094215,2000,0.7142,0.0075,17.71528,20260324094219
20260324100904,2000,0.7143,0.0075,17.76144,20260324100909
20260324103519,2000,0.7143,0.0075,17.88874,20260324103519
20260324110200,2000,0.7144,0.0075,17.9419,20260324110209
20260324112859,2000,0.7144,0.0075,17.67891,20260324112859
20260324115505,2000,0.7145,0.0075,17.62156,20260324115509
20260324122129,2000,0.7145,0.0075,17.72787,20260324122129
20260324124800,2000,0.7146,0.0075,17.80481,20260324124809
20260324131421,2000,0.7146,0.0075,18.09158,20260324131429
20260324134126,2000,0.7147,0.0075,17.75305,20260324134129
20260324140850,2400,0.7147,0.0075,17.78522,20260324140859
20260324143410,2400,0.7148,0.0075,17.6859,20260324143419
20260324145916,2400,0.7149,0.0075,17.816,20260324145919
20260324152401,2400,0.715,0.0075,17.84118,20260324152409
20260324154905,2400,0.715,0.0075,17.60757,20260324154909
20260324161412,2400,0.7151,0.0075,17.70828,20260324161419
20260324163911,2400,0.7152,0.0075,17.66632,20260324163919
20260324170354,2400,0.7153,0.0075,18.36715,20260324170359
20260324172852,2400,0.7154,0.0075,17.87195,20260324172859
20260324175355,2400,0.7154,0.0075,17.66492,20260324175359
