time,cpu_frequency,cpu_usage,sda_usage,active_power,power_time
20260312110240,800,0.7692,0.0063,25.09275101,20260312110249
20260312110401,800,0.7691,0.0063,27.287062968,20260312110409
20260312110509,800,0.7691,0.0063,21.803551974,20260312110509
20260312110615,800,0.7691,0.0063,25.665721842,20260312110619
20260312110722,800,0.769,0.0063,26.175154819,20260312110729
20260312110828,800,0.769,0.0063,25.422923554,20260312110829
20260312110934,800,0.769,0.0063,25.949368975,20260312110939
20260312111040,800,0.7689,0.0063,24.249746451,20260312111049
20260312111147,800,0.7689,0.0063,25.629419426,20260312111149
20260312111253,800,0.7688,0.0063,26.778760128000002,20260312111258
20260312111359,800,0.7688,0.0063,22.357241461,20260312111359
20260312111611,800,0.7687,0.0063,24.578780231,20260312111619
20260312111718,800,0.7687,0.0063,22.909783557,20260312111719
20260312111824,800,0.7687,0.0063,25.396826879000002,20260312111829
20260312111928,800,0.7686,0.0063,26.003831226,20260312111929
20260312112034,800,0.7686,0.0063,25.829108595,20260312112039
20260312112140,800,0.7686,0.0063,27.357407526,20260312112149
20260312112246,800,0.7685,0.0063,24.094305165,20260312112249
20260312112352,800,0.7685,0.0063,25.51935616,20260312112359
20260312112457,800,0.7685,0.0063,27.07489053,20260312112459
20260312112603,800,0.7684,0.0063,25.673667309,20260312112609
20260312112709,800,0.7684,0.0063,21.673077226,20260312112709
20260312112815,800,0.7684,0.0063,26.689134225,20260312112819
20260312112920,800,0.7683,0.0063,27.56050436,20260312112929
20260312113025,800,0.7683,0.0063,23.346603075,20260312113029
20260312113131,800,0.7683,0.0063,25.579494977,20260312113139
20260312113236,800,0.7682,0.0063,25.551129401,20260312113239
20260312113342,800,0.7682,0.0063,25.586301680000002,20260312113349
20260312113447,800,0.7682,0.0063,25.739474065,20260312113449
20260312113552,800,0.7681,0.0063,26.155864847,20260312113559
20260312113659,800,0.7681,0.0063,21.952186557,20260312113659
20260312113804,800,0.7681,0.0063,24.978158569,20260312113809
20260312113910,800,0.768,0.0063,27.459525325,20260312113919
20260312114015,800,0.768,0.0063,25.808679859,20260312114019
20260312114121,800,0.768,0.0064,23.935464841,20260312114129
20260312114228,800,0.7679,0.0064,26.153595946,20260312114229
20260312114334,800,0.7679,0.0064,25.754226235,20260312114339
20260312114439,800,0.7679,0.0064,21.404173636000003,20260312114439
20260312114545,800,0.7678,0.0064,24.633242482,20260312114549
20260312114651,800,0.7678,0.0064,24.003540498,20260312114659
20260312114758,800,0.7678,0.0064,25.618066294,20260312114759
20260312114904,800,0.7677,0.0064,25.142675459,20260312114909
20260312115009,800,0.7677,0.0064,22.471833902,20260312115009
20260312115114,800,0.7677,0.0064,27.313159643000002,20260312115119
20260312115219,800,0.7676,0.0064,24.280380928,20260312115219
20260312115325,800,0.7676,0.0064,24.421070044,20260312115329
20260312115432,800,0.7676,0.0064,25.349171331,20260312115439
20260312115538,800,0.7675,0.0064,23.234279535000002,20260312115539
20260312115643,800,0.7675,0.0064,25.958453206,20260312115649
20260312115749,800,0.7675,0.0064,22.577350739000003,20260312115749
20260312115855,800,0.7674,0.0064,25.005385381,20260312115859
20260312120001,800,0.7674,0.0064,24.298532136,20260312120009
20260312120106,800,0.7674,0.0064,25.97546565,20260312120109
20260312120212,800,0.7673,0.0064,24.652532454,20260312120219
20260312120318,800,0.7673,0.0064,23.824271438,20260312120319
20260312120425,800,0.7673,0.0064,24.44943562,20260312120429
20260312120532,800,0.7672,0.0064,26.231885971,20260312120539
20260312120638,800,0.7672,0.0064,26.257982646,20260312120639
20260312120744,800,0.7672,0.0064,26.985264627000003,20260312120749
20260312120850,800,0.7671,0.0064,25.764431976,20260312120859
20260312120955,800,0.7671,0.0064,23.909368166000004,20260312120959
20260312121101,800,0.767,0.0064,24.592393637,20260312121109
20260312121205,800,0.767,0.0064,24.87604077,20260312121209
20260312121311,800,0.767,0.0064,25.374129242,20260312121319
20260312121416,800,0.767,0.0064,23.586002325,20260312121419
20260312121522,800,0.7669,0.0064,26.19217589,20260312121529
20260312121627,800,0.7669,0.0064,25.108633317000002,20260312121629
20260312121732,800,0.7669,0.0064,26.882008064,20260312121739
20260312121838,800,0.7668,0.0064,26.567726454,20260312121839
20260312121944,800,0.7668,0.0064,26.568865218,20260312121949
20260312122048,800,0.7668,0.0064,22.322060555,20260312122049
20260312122155,800,0.7667,0.0064,24.796620608,20260312122159
20260312122259,800,0.7667,0.0064,22.769094441,20260312122259
20260312122405,800,0.7667,0.0064,26.059432241,20260312122409
20260312122510,800,0.7666,0.0064,26.910373640000003,20260312122519
20260312122615,800,0.7666,0.0064,23.610968863,20260312122619
20260312122721,800,0.7666,0.0064,23.267182913,20260312122729
20260312122826,800,0.7665,0.0064,26.01972216,20260312122829
20260312122932,800,0.7665,0.0064,26.528016373,20260312122939
20260312123038,800,0.7665,0.0064,23.412409831,20260312123039
20260312123142,800,0.7664,0.0064,25.141536695,20260312123149
20260312123248,800,0.7664,0.0064,26.292024788,20260312123249
20260312123354,800,0.7664,0.0064,27.046524954,20260312123359
20260312123501,800,0.7663,0.0064,23.207052723,20260312123509
20260312123607,800,0.7663,0.0064,26.16948688,20260312123609
20260312123712,800,0.7663,0.0064,25.831377496,20260312123719
20260312123922,800,0.7662,0.0064,27.383504201,20260312123929
20260312124028,800,0.7662,0.0064,26.617650903,20260312124029
20260312124132,800,0.7661,0.0064,27.350600823,20260312124139
20260312124238,800,0.7661,0.0064,25.328751222,20260312124239
20260312124344,800,0.7661,0.0064,26.048079109,20260312124349
20260312124450,800,0.766,0.0064,23.707410096,20260312124459
20260312124556,800,0.766,0.0064,24.806834976,20260312124559
20260312124702,800,0.7659,0.0064,27.58319337,20260312124709
20260312124807,800,0.7659,0.0064,26.425907201,20260312124809
20260312124913,800,0.7659,0.0064,25.424053691,20260312124919
20260312125017,800,0.7658,0.0064,26.183100286000002,20260312125019
20260312125124,800,0.7658,0.0064,26.978449297,20260312125129
20260312125438,1300,0.7657,0.0064,24.130616208,20260312125439
20260312125533,1300,0.7656,0.0064,27.118008275999998,20260312125539
20260312125629,1300,0.7656,0.0064,22.664716368,20260312125629
20260312125724,1300,0.7656,0.0064,25.868818676000004,20260312125729
20260312125818,1300,0.7656,0.0064,24.072746292,20260312125819
20260312125914,1300,0.7655,0.0064,25.891507686,20260312125919
20260312130009,1300,0.7655,0.0064,22.333413687000004,20260312130009
20260312130104,1300,0.7655,0.0064,27.273449562,20260312130109
20260312130159,1300,0.7655,0.0064,21.766110794,20260312130159
20260312130253,1300,0.7654,0.0064,27.380096536,20260312130259
20260312130348,1300,0.7654,0.0064,21.348581248000002,20260312130349
20260312130443,1300,0.7654,0.0064,26.436112942,20260312130449
20260312130538,1300,0.7654,0.0064,27.021567043,20260312130539
20260312130633,1300,0.7653,0.0064,27.477676533,20260312130639
20260312130728,1300,0.7653,0.0064,26.470155084,20260312130729
20260312130824,1300,0.7653,0.0064,26.651684418,20260312130829
20260312130919,1300,0.7652,0.0064,23.098128221,20260312130919
20260312131013,1300,0.7652,0.0064,26.219411329,20260312131019
20260312131106,1300,0.7652,0.0064,24.706986078,20260312131109
20260312131201,1300,0.7652,0.0064,25.843852138,20260312131209
20260312131256,1300,0.7651,0.0064,26.234154872,20260312131259
20260312131351,1300,0.7651,0.0064,26.961436853,20260312131359
20260312131445,1300,0.7651,0.0064,25.835915298,20260312131449
20260312131539,1300,0.7651,0.0064,22.662447467,20260312131539
20260312131633,1300,0.765,0.0064,26.792382161,20260312131639
20260312131729,1300,0.765,0.0064,22.568275135,20260312131729
20260312131824,1300,0.765,0.0064,24.254284253,20260312131829
20260312131919,1300,0.765,0.0064,22.226758086,20260312131918
20260312132014,1300,0.7649,0.0064,25.458095832999998,20260312132019
20260312132109,1300,0.7649,0.0064,23.453258676,20260312132109
20260312132204,1300,0.7649,0.0064,25.554537066,20260312132209
20260312132259,1300,0.7648,0.0064,22.553522965,20260312132259
20260312132354,1300,0.7648,0.0064,25.446742701,20260312132359
20260312132449,1300,0.7648,0.0064,22.530833955000002,20260312132449
20260312132545,1300,0.7648,0.0064,27.300676374000002,20260312132549
20260312132639,1300,0.7647,0.0064,22.307317012,20260312132639
20260312132734,1300,0.7647,0.0064,26.608575299,20260312132739
20260312132830,1300,0.7647,0.0064,26.403209564,20260312132839
20260312132925,1300,0.7647,0.0064,26.134314601,20260312132929
20260312133019,1300,0.7646,0.0064,23.050472673,20260312133019
20260312133114,1300,0.7646,0.0064,25.86314211,20260312133119
20260312133208,1300,0.7646,0.0064,25.190331007,20260312133209
20260312133303,1300,0.7646,0.0064,27.12708388,20260312133309
20260312133358,1300,0.7645,0.0064,24.837469453,20260312133359
20260312133453,1300,0.7645,0.0064,27.541214388,20260312133459
20260312133547,1300,0.7645,0.0064,25.986818782,20260312133549
20260312133640,1300,0.7645,0.0064,25.500074815,20260312133649
20260312133735,1300,0.7644,0.0064,27.288201732,20260312133739
20260312133829,1300,0.7644,0.0064,22.266468167000003,20260312133829
20260312133924,1300,0.7644,0.0064,26.725436640999998,20260312133929
20260312134019,1300,0.7643,0.0064,23.582603286999998,20260312134019
20260312134115,1300,0.7643,0.0064,26.794651062,20260312134119
20260312134210,1300,0.7643,0.0064,27.705731278,20260312134219
20260312134305,1300,0.7643,0.0064,26.493982858000003,20260312134309
20260312134400,1300,0.7642,0.0064,27.670558999,20260312134409
20260312134455,1300,0.7642,0.0064,26.601768596,20260312134459
20260312134550,1300,0.7642,0.0064,27.462924363000003,20260312134559
20260312134645,1300,0.7642,0.0064,27.41073964,20260312134649
20260312134740,1300,0.7641,0.0064,27.490151175,20260312134749
20260312134835,1300,0.7641,0.0064,26.911512404,20260312134839
20260312134930,1300,0.7641,0.0064,27.380096536,20260312134939
20260312135025,1300,0.7641,0.0064,25.869948813,20260312135029
20260312135120,1300,0.764,0.0064,25.611259591,20260312135129
20260312135215,1300,0.764,0.0064,25.357116798,20260312135219
20260312135310,1300,0.764,0.0064,27.65807573,20260312135319
20260312135405,1300,0.7639,0.0065,26.998878033,20260312135409
20260312135458,1300,0.7639,0.0065,24.392704468,20260312135459
20260312135552,1300,0.7639,0.0065,26.906974602000002,20260312135559
20260312135648,1300,0.7639,0.0065,23.558775513,20260312135649
20260312135743,1300,0.7638,0.0065,25.908528757,20260312135748
20260312135838,1300,0.7638,0.0065,26.373713851,20260312135839
20260312135932,1300,0.7638,0.0065,26.928533475000002,20260312135939
20260312140027,1300,0.7638,0.0065,25.650969672000002,20260312140029
20260312140123,1300,0.7637,0.0065,26.281810420000003,20260312140129
20260312140218,1300,0.7637,0.0065,24.754641625999998,20260312140219
20260312140313,1300,0.7637,0.0065,25.721322857,20260312140319
20260312140504,1300,0.7636,0.0065,25.500074815,20260312140509
20260312140557,1300,0.7636,0.0065,26.903566937,20260312140559
20260312140652,1300,0.7636,0.0065,26.785566831,20260312140659
20260312140746,1300,0.7636,0.0065,25.050772028,20260312140749
20260312140840,1300,0.7635,0.0065,24.117002802,20260312140849
20260312140935,1300,0.7635,0.0065,25.338956963,20260312140939
20260312141030,1300,0.7635,0.0065,27.460655462000002,20260312141039
20260312141125,1300,0.7635,0.0065,25.719045329000004,20260312141129
20260312141220,1300,0.7634,0.0065,27.600214441000002,20260312141229
20260312141315,1300,0.7634,0.0065,26.605167634,20260312141319
20260312141410,1300,0.7634,0.0065,26.916050206,20260312141419
20260312141504,1300,0.7634,0.0065,26.868394658,20260312141509
20260312141559,1300,0.7633,0.0065,23.949078247,20260312141559
20260312141654,1300,0.7633,0.0065,25.56361267,20260312141659
20260312141748,1300,0.7633,0.0065,25.537515995,20260312141749
20260312141843,1300,0.7633,0.0065,26.347617176000004,20260312141849
20260312141937,1300,0.7632,0.0065,26.55865085,20260312141939
20260312142031,1300,0.7632,0.0065,26.593823129,20260312142039
20260312142125,1300,0.7632,0.0065,23.772078088,20260312142129
20260312142220,1300,0.7632,0.0065,27.959882698,20260312142229
20260312142314,1300,0.7631,0.0065,26.79011326,20260312142319
20260312142406,1300,0.7631,0.0065,25.485322645,20260312142409
20260312142550,1600,0.763,0.0065,21.742283020000002,20260312142559
20260312142658,1600,0.763,0.0065,23.608699962000003,20260312142659
20260312142745,1600,0.763,0.0065,28.141412031999998,20260312142749
20260312142833,1600,0.763,0.0065,27.015890477,20260312142839
20260312142920,1600,0.7629,0.0065,28.57823155,20260312142929
20260312143007,1600,0.7629,0.0065,25.985680018,20260312143009
20260312143054,1600,0.7629,0.0065,28.614542593000003,20260312143059
20260312143140,1600,0.7629,0.0065,27.628580016999997,20260312143149
20260312143228,1600,0.7629,0.0065,24.925965219,20260312143229
20260312143313,1600,0.7628,0.0065,27.051071383000004,20260312143319
20260312143401,1600,0.7628,0.0065,25.324213420000003,20260312143409
20260312143448,1600,0.7628,0.0065,28.034765058000005,20260312143449
20260312143535,1600,0.7628,0.0065,27.796495945000004,20260312143539
20260312143623,1600,0.7628,0.0065,28.358122272000003,20260312143629
