time,cpu_frequency,cpu_usage,sda_usage,active_power,power_time
20241116113540,800,0.9343,0.0,23.47582,20241116113549
20241116113633,800,0.8096,0.02,29.84907,20241116113639
20241116113748,800,0.9289,0.012,29.51894,20241116113749
20241116113836,800,0.8177,0.016,27.76196,20241116113839
20241116113952,800,0.868,0.004,29.06151,20241116113959
20241116114044,800,0.8933,0.004,24.16267,20241116114045
20241116114200,800,0.9227,0.016,29.25455,20241116114205
20241116114251,800,0.8905,0.016,27.88226,20241116114255
20241116114407,800,0.9225,0.016,29.39444,20241116114405
20241116114456,800,0.8358,0.012,23.90528,20241116114455
20241116114612,800,0.8313,0.004,31.99634,20241116114615
20241116114704,800,0.8928,0.004,24.53197,20241116114705
20241116114820,800,0.8525,0.016,29.48676,20241116114825
20241116114912,800,0.8781,0.004,27.67103,20241116114915
20241116115027,800,0.9395,0.0,31.61304,20241116115025
20241116115117,800,0.6938,0.008,24.16826,20241116115115
20241116115233,800,0.8222,0.004,31.76412,20241116115235
20241116115328,800,0.9265,0.02,24.13889,20241116115326
20241116115445,800,0.8283,0.004,31.18779,20241116115446
20241116115532,800,0.8632,0.008,29.4462,20241116115536
20241116115648,800,0.8719,0.016,29.49516,20241116115646
20241116115740,800,0.89,0.004,30.68699,20241116115746
20241116115857,800,0.8346,0.024,30.10506,20241116115856
20241116115949,800,0.7986,0.02,24.68025,20241116115946
20241116120104,800,0.9322,0.0,29.88684,20241116120106
20241116120159,800,0.81,0.004,23.0128,20241116120156
20241116120314,800,0.9547,0.004,27.06252,20241116120316
20241116120406,800,0.8379,0.016,23.30376,20241116120406
20241116120521,800,0.8939,0.008,30.438,20241116120526
20241116120614,800,0.86,0.016,27.30173,20241116120616
20241116120730,800,0.798,0.024,27.69481,20241116120737
20241116120822,800,0.9068,0.012,24.06475,20241116120827
20241116120938,800,0.9273,0.008,31.427,20241116120937
20241116121026,800,0.8496,0.02,24.18225,20241116121027
20241116121142,800,0.8213,0.016,29.13984,20241116121147
20241116121234,800,0.8942,0.004,31.0549,20241116121237
20241116121350,800,0.8847,0.012,29.38465,20241116121357
20241116121441,800,0.8995,0.028,29.80571,20241116121447
20241116121557,800,0.932,0.012,30.41561,20241116121557
20241116121649,800,0.937,0.008,23.82834,20241116121647
20241116121805,800,0.8765,0.004,27.01916,20241116121807
20241116121902,800,0.7111,0.012,30.39883,20241116121908
20241116122018,800,0.8329,0.012,26.50997,20241116122018
