time,cpu_frequency,cpu_usage,sda_usage,active_power,power_time
20241116113540,800,0.9899,0.0,22.9918,20241116113549
20241116113633,800,0.9924,0.0,22.9392,20241116113639
20241116113748,800,0.9849,0.0,22.96944,20241116113749
20241116113836,800,0.9924,0.0,23.16541,20241116113839
20241116113952,800,0.9798,0.0,23.71646,20241116113959
20241116114044,800,0.9874,0.0,22.83661,20241116114049
20241116114200,800,0.9848,0.048,22.88791,20241116114209
20241116114251,800,0.9873,0.028,22.82215,20241116114259
20241116114407,800,0.9775,0.0,23.09833,20241116114409
20241116114456,800,0.9798,0.052,23.4942,20241116114459
20241116114612,800,0.9773,0.008,23.12595,20241116114619
20241116114704,800,0.9849,0.012,22.99443,20241116114709
20241116114820,800,0.9799,0.012,22.98917,20241116114825
20241116114912,800,0.9521,0.004,23.19434,20241116114915
20241116115027,800,0.8649,0.04,22.87344,20241116115025
20241116115117,800,0.9874,0.004,23.13384,20241116115115
20241116115233,800,0.9849,0.008,23.31402,20241116115235
20241116115328,800,0.8987,0.064,25.18551,20241116115325
20241116115445,800,0.9849,0.008,22.83398,20241116115445
20241116115532,800,0.9874,0.0,23.17987,20241116115535
20241116115648,800,0.9749,0.0,22.91947,20241116115645
20241116115740,800,0.9899,0.0,22.88527,20241116115745
20241116115857,800,0.9874,0.008,23.00759,20241116115855
20241116115949,800,0.9849,0.008,23.75723,20241116115946
20241116120104,800,0.9899,0.04,23.00496,20241116120106
20241116120159,800,0.9774,0.0,23.22985,20241116120156
20241116120314,800,0.9322,0.032,22.96813,20241116120316
20241116120406,800,0.9848,0.0158,23.07203,20241116120406
20241116120521,800,0.9825,0.0,22.92473,20241116120526
20241116120614,800,0.9751,0.004,23.51261,20241116120616
20241116120730,800,0.9824,0.016,23.89927,20241116120736
20241116120822,800,0.9874,0.0079,22.84976,20241116120826
20241116120938,800,0.9749,0.012,22.97339,20241116120936
20241116121026,800,0.9924,0.0,22.98391,20241116121026
20241116121142,800,0.871,0.0,23.00101,20241116121146
20241116121234,800,0.9874,0.0,23.27456,20241116121236
20241116121350,800,0.9774,0.02,23.92163,20241116121357
20241116121441,800,0.9823,0.0,22.91947,20241116121447
20241116121557,800,0.9698,0.036,23.21801,20241116121557
20241116121649,800,0.9824,0.004,23.28903,20241116121647
20241116121805,800,0.9677,0.044,22.8787,20241116121807
20241116121902,800,0.8607,0.008,22.72219,20241116121907
20241116122018,800,0.9824,0.012,22.90369,20241116122017
20241116122110,800,0.9849,0.044,22.78401,20241116122117
20241116122226,800,0.9924,0.032,22.97076,20241116122227
20241116122320,800,0.9824,0.008,22.99706,20241116122327
20241116122436,800,0.9749,0.0,23.1128,20241116122437
20241116122532,800,0.9825,0.0,22.92999,20241116122538
20241116122648,800,0.9749,0.004,22.87475,20241116122648
