param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,cpu_frequency,run_time,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49,run_50,run_51,run_52,run_53,run_54,run_55,run_56,run_57,run_58,run_59,run_60,run_61,run_62,run_63,run_64,run_65,run_66,run_67,run_68,run_69,run_70,run_71,run_72,run_73,run_74,run_75,run_76,run_77,run_78,run_79,run_80,run_81,run_82,run_83,run_84,run_85,run_86,run_87,run_88,run_89,run_90
80,0.9,230,0.48,0.6,510,TRUE,FALSE,800,247,58,3,4,3,11,2,7,6,13,58,8,3,3,1,3,3,3,2,3,8,7,0,1,1,1,1,0,0,3,8,3,1,0,0,0,0,0,0,0,2,1,1,0,0,0,2,1,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
50,0.6,150,0.93,0.8,410,TRUE,FALSE,800,258,34,5,6,8,17,5,1,7,9,76,7,5,1,1,7,3,3,4,4,5,3,2,0,1,0,1,1,5,2,11,2,0,2,0,0,0,0,0,2,3,2,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
60,0.8,210,0.43,0.6,830,FALSE,FALSE,800,258,45,8,3,7,10,5,5,6,10,81,6,1,0,1,6,2,3,2,1,13,7,2,1,3,0,1,1,1,3,0,1,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
80,0.5,130,0.77,0.6,810,FALSE,TRUE,800,250,47,6,5,6,9,9,5,3,8,70,10,3,3,4,3,1,1,2,0,6,6,2,0,2,2,1,0,0,2,4,2,0,1,0,0,0,1,1,2,1,7,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
40,0.9,120,0.42,0.3,700,FALSE,TRUE,800,245,45,6,4,10,13,8,3,6,8,57,11,5,3,3,3,1,1,4,2,10,3,3,0,1,1,1,0,0,0,6,3,0,0,0,0,0,0,0,2,2,2,1,0,0,0,1,0,0,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
80,0.7,220,0.86,0.9,830,TRUE,FALSE,800,247,40,8,7,14,13,3,8,4,9,58,8,5,4,1,9,3,2,1,5,4,2,1,2,0,1,0,3,2,3,8,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0
90,0.8,130,0.47,0.7,280,TRUE,TRUE,800,240,44,7,6,19,9,7,4,3,13,57,7,4,2,1,3,3,0,5,2,5,1,2,2,0,3,0,1,2,3,2,0,0,0,0,0,0,0,1,0,5,1,0,0,0,1,0,0,1,1,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0
20,0.6,300,0.71,0.8,570,TRUE,FALSE,800,249,51,4,6,7,10,5,2,3,6,61,8,4,1,3,3,5,2,3,5,11,8,1,1,1,1,2,2,1,1,7,1,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,1,0,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0
60,0.8,220,0.86,0.8,950,FALSE,FALSE,800,246,51,4,3,11,10,4,3,4,11,65,10,0,1,2,6,3,2,1,4,6,3,5,0,0,2,2,2,2,0,4,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
30,0.5,120,0.8,0.4,650,TRUE,FALSE,800,245,50,6,3,8,11,5,5,4,8,63,12,2,1,0,3,3,1,2,1,5,4,2,0,2,2,1,1,2,4,4,3,0,0,0,1,0,0,0,2,5,1,0,0,0,0,1,0,0,2,1,2,0,0,0,1,0,0,0,3,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
