time,cpu_frequency,cpu_usage,sda_usage,active_power,power_time
20260323173818,800,0.5173,0.1341,26.96419,20260323173819
20260323181558,800,0.5168,0.1341,28.90813,20260323181558
20260323185346,800,0.5162,0.1341,26.43538,20260323185349
20260323193046,800,0.5156,0.1341,25.82022,20260323193047
20260323200731,800,0.5151,0.1342,26.28968,20260323200739
20260323204507,800,0.5145,0.1342,26.64717,20260323204506
20260323212215,800,0.5141,0.1342,25.94703,20260323212219
20260323223655,800,0.5128,0.1343,26.73216,20260323223654
20260323231436,800,0.5124,0.1343,25.7838,20260323231434
20260323235321,1300,0.5118,0.1343,26.76993,20260323235327
20260324002450,1300,0.5115,0.1344,28.00833,20260324002452
20260324005539,1300,0.5111,0.1345,26.17502,20260324005536
20260324015801,1300,0.5107,0.1346,25.81078,20260324015808
20260324022831,1300,0.5104,0.1347,26.98712,20260324022833
20260324025849,1300,0.5102,0.1347,26.7389,20260324025845
20260324032935,1300,0.5099,0.1348,28.10816,20260324032937
20260324040040,1300,0.5096,0.1348,26.8104,20260324040047
20260324043114,1300,0.5094,0.1348,26.84143,20260324043111
20260324050320,1600,0.5092,0.1349,30.85881,20260324050320
20260324053147,1600,0.5091,0.1349,25.48567,20260324053145
20260324055915,1600,0.5089,0.135,29.32362,20260324055914
20260324062713,1600,0.5089,0.135,25.88767,20260324062711
20260324065445,1600,0.5088,0.1351,26.76723,20260324065445
20260324072208,1600,0.5087,0.1351,26.56353,20260324072203
20260324074939,1600,0.5086,0.1352,27.06132,20260324074931
20260324081749,1600,0.5084,0.1353,27.43365,20260324081745
20260324084525,1600,0.5082,0.1353,31.68846,20260324084527
20260324091303,1600,0.5081,0.1354,25.42226,20260324091308
20260324094215,2000,0.5081,0.1354,27.84645,20260324094219
20260324100904,2000,0.508,0.1355,27.34596,20260324100902
20260324103519,2000,0.5079,0.1356,27.5011,20260324103515
20260324110200,2000,0.5078,0.1357,31.49959,20260324110201
20260324112859,2000,0.5078,0.1357,,
20260324115505,2000,0.5077,0.1358,26.72407,20260324115500
20260324122129,2000,0.5077,0.1359,25.73793,20260324122124
20260324124800,2000,0.5076,0.136,26.56893,20260324124804
20260324131421,2000,0.5075,0.1362,27.47277,20260324131426
20260324134126,2000,0.5075,0.1362,33.26006,20260324134127
20260324140850,2400,0.5075,0.1363,28.85417,20260324140855
20260324143410,2400,0.5075,0.1363,27.1517,20260324143419
20260324145916,2400,0.5075,0.1364,28.25655,20260324145916
20260324152401,2400,0.5075,0.1365,29.59748,20260324152409
20260324154905,2400,0.5075,0.1366,28.70443,20260324154909
20260324161412,2400,0.5076,0.1367,27.12472,20260324161419
20260324163911,2400,0.5076,0.1368,35.04347,20260324163919
20260324170354,2400,0.5076,0.1369,,
20260324172852,2400,0.5075,0.137,35.32676,20260324172853
20260324175355,2400,0.5076,0.1371,,
