time,cpu_frequency,cpu_usage,sda_usage
20260323173818,800,0.7158,0.0075
20260323181558,800,0.7156,0.0075
20260323185346,800,0.7155,0.0075
20260323193046,800,0.7154,0.0075
20260323200731,800,0.7152,0.0075
20260323204507,800,0.7151,0.0075
20260323212215,800,0.715,0.0075
20260323215941,800,0.7148,0.0075
20260323223655,800,0.7147,0.0075
20260323231436,800,0.7146,0.0075
20260323235321,1300,0.7144,0.0075
20260324002450,1300,0.7144,0.0075
20260324005539,1300,0.7144,0.0075
20260324012656,1300,0.7143,0.0075
20260324015801,1300,0.7143,0.0075
20260324022831,1300,0.7142,0.0075
20260324025849,1300,0.7142,0.0075
20260324032935,1300,0.7142,0.0075
20260324040040,1300,0.7141,0.0075
20260324043114,1300,0.7141,0.0075
20260324050320,1600,0.714,0.0075
20260324053147,1600,0.7141,0.0075
20260324055915,1600,0.7141,0.0075
20260324062713,1600,0.7141,0.0075
20260324065445,1600,0.7141,0.0075
20260324072208,1600,0.7141,0.0075
20260324074939,1600,0.7142,0.0075
20260324081749,1600,0.7142,0.0075
20260324084525,1600,0.7142,0.0075
20260324091303,1600,0.7142,0.0075
20260324094215,2000,0.7142,0.0075
20260324100904,2000,0.7143,0.0075
20260324103519,2000,0.7143,0.0075
20260324110200,2000,0.7144,0.0075
20260324112859,2000,0.7144,0.0075
20260324115505,2000,0.7145,0.0075
20260324122129,2000,0.7145,0.0075
20260324124800,2000,0.7146,0.0075
20260324131421,2000,0.7146,0.0075
20260324134126,2000,0.7147,0.0075
20260324140850,2400,0.7147,0.0075
20260324143410,2400,0.7148,0.0075
20260324145916,2400,0.7149,0.0075
20260324152401,2400,0.715,0.0075
20260324154905,2400,0.715,0.0075
20260324161412,2400,0.7151,0.0075
20260324163911,2400,0.7152,0.0075
20260324170354,2400,0.7153,0.0075
20260324172852,2400,0.7154,0.0075
20260324175355,2400,0.7154,0.0075
