time,cpu_frequency,cpu_usage,sda_usage
20260323173818,800,0.5173,0.1341
20260323181558,800,0.5168,0.1341
20260323185346,800,0.5162,0.1341
20260323193046,800,0.5156,0.1341
20260323200731,800,0.5151,0.1342
20260323204507,800,0.5145,0.1342
20260323212215,800,0.5141,0.1342
20260323223655,800,0.5128,0.1343
20260323231436,800,0.5124,0.1343
20260323235321,1300,0.5118,0.1343
20260324002450,1300,0.5115,0.1344
20260324005539,1300,0.5111,0.1345
20260324015801,1300,0.5107,0.1346
20260324022831,1300,0.5104,0.1347
20260324025849,1300,0.5102,0.1347
20260324032935,1300,0.5099,0.1348
20260324040040,1300,0.5096,0.1348
20260324043114,1300,0.5094,0.1348
20260324050320,1600,0.5092,0.1349
20260324053147,1600,0.5091,0.1349
20260324055915,1600,0.5089,0.135
20260324062713,1600,0.5089,0.135
20260324065445,1600,0.5088,0.1351
20260324072208,1600,0.5087,0.1351
20260324074939,1600,0.5086,0.1352
20260324081749,1600,0.5084,0.1353
20260324084525,1600,0.5082,0.1353
20260324091303,1600,0.5081,0.1354
20260324094215,2000,0.5081,0.1354
20260324100904,2000,0.508,0.1355
20260324103519,2000,0.5079,0.1356
20260324110200,2000,0.5078,0.1357
20260324112859,2000,0.5078,0.1357
20260324115505,2000,0.5077,0.1358
20260324122129,2000,0.5077,0.1359
20260324124800,2000,0.5076,0.136
20260324131421,2000,0.5075,0.1362
20260324134126,2000,0.5075,0.1362
20260324140850,2400,0.5075,0.1363
20260324143410,2400,0.5075,0.1363
20260324145916,2400,0.5075,0.1364
20260324152401,2400,0.5075,0.1365
20260324154905,2400,0.5075,0.1366
20260324161412,2400,0.5076,0.1367
20260324163911,2400,0.5076,0.1368
20260324170354,2400,0.5076,0.1369
20260324172852,2400,0.5075,0.137
20260324175355,2400,0.5076,0.1371
