time,cpu_frequency,cpu_usage,sda_usage,active_power,power_time
20260325154434,800,0.5263,0.1304,31.90077,20260325154430
20260325154727,800,0.5263,0.1304,28.94032,20260325154720
20260325155018,800,0.5263,0.1304,29.02712,20260325155010
20260325155310,800,0.5264,0.1304,28.9561,20260325155310
20260325155602,800,0.5264,0.1304,32.31899,20260325155600
20260325155853,800,0.5264,0.1304,32.14276,20260325155850
20260325160143,800,0.5264,0.1303,31.90866,20260325160140
20260325160433,800,0.5264,0.1303,31.91392,20260325160430
20260325160723,800,0.5264,0.1303,32.30978,20260325160720
20260325161013,800,0.5265,0.1303,31.68508,20260325161010
20260325161414,3200,0.5265,0.1303,37.68488,20260325161410
20260325161643,3200,0.5265,0.1303,39.2039,20260325161640
20260325161913,3200,0.5265,0.1303,37.2272,20260325161910
20260325162141,3200,0.5266,0.1302,41.93288,20260325162140
20260325162409,3200,0.5266,0.1302,39.03951,20260325162400
20260325162638,3200,0.5266,0.1302,38.07418,20260325162630
20260325162908,3200,0.5267,0.1302,40.50987,20260325162900
20260325163137,3200,0.5267,0.1302,37.21668,20260325163130
20260325163405,3200,0.5267,0.1302,37.16933,20260325163400
20260325163633,3200,0.5268,0.1302,37.62175,20260325163630
20260325164010,2000,0.5268,0.1302,31.93233,20260325164010
20260325164246,2000,0.5269,0.1301,30.84994,20260325164240
20260325164521,2000,0.5269,0.1301,33.98268,20260325164520
20260325164756,2000,0.5269,0.1301,30.45934,20260325164750
20260325165030,2000,0.5269,0.1301,31.33656,20260325165030
20260325165305,2000,0.527,0.1301,30.19236,20260325165300
20260325165539,2000,0.527,0.1301,31.47465,20260325165530
20260325165814,2000,0.527,0.1301,29.16127,20260325165810
20260325170048,2000,0.5271,0.1301,30.49485,20260325170040
20260325170322,2000,0.5271,0.13,31.41941,20260325170320
20260325170703,2300,0.5271,0.13,37.02598,20260325170700
20260325170935,2300,0.5272,0.13,30.02007,20260325170930
20260325171206,2300,0.5272,0.13,29.95826,20260325171200
20260325171437,2300,0.5272,0.13,31.44572,20260325171430
20260325171708,2300,0.5273,0.13,30.60138,20260325171700
20260325171940,2300,0.5273,0.13,33.79987,20260325171940
20260325172211,2300,0.5273,0.13,39.46957,20260325172210
20260325172442,2300,0.5273,0.1299,35.92387,20260325172440
20260325172713,2300,0.5274,0.1299,30.81049,20260325172710
20260325172944,2300,0.5274,0.1299,31.02355,20260325172940
20260325173317,3000,0.5275,0.1299,34.27859,20260325173310
20260325173546,3000,0.5275,0.1299,33.85511,20260325173540
20260325173816,3000,0.5275,0.1299,34.49428,20260325173810
20260325174045,3000,0.5275,0.1299,32.75168,20260325174040
20260325174314,3000,0.5276,0.1299,33.43162,20260325174310
20260325174544,3000,0.5276,0.1298,35.07427,20260325174540
20260325174814,3000,0.5276,0.1298,35.45435,20260325174810
20260325175043,3000,0.5277,0.1298,34.75863,20260325175040
20260325175312,3000,0.5277,0.1298,34.01293,20260325175310
20260325175541,3000,0.5277,0.1298,46.16116,20260325175540
