time,cpu_frequency,cpu_usage,sda_usage,active_power,power_time
20260312110240,800,0.7692,0.0063,17.92651,20260312110249
20260312110401,800,0.7691,0.0063,17.79921,20260312110409
20260312110509,800,0.7691,0.0063,18.09717,20260312110509
20260312110615,800,0.7691,0.0063,18.46228,20260312110619
20260312110722,800,0.769,0.0063,17.72507,20260312110729
20260312110828,800,0.769,0.0063,17.79362,20260312110829
20260312110934,800,0.769,0.0063,17.80341,20260312110939
20260312111040,800,0.7689,0.0063,17.90693,20260312111049
20260312111147,800,0.7689,0.0063,17.6887,20260312111149
20260312111253,800,0.7688,0.0063,17.71668,20260312111258
20260312111359,800,0.7688,0.0063,19.00084,20260312111359
20260312111505,800,0.7688,0.0063,17.71388,20260312111509
20260312111611,800,0.7687,0.0063,17.9349,20260312111619
20260312111718,800,0.7687,0.0063,17.92231,20260312111719
20260312111824,800,0.7687,0.0063,17.70129,20260312111829
20260312111928,800,0.7686,0.0063,17.78522,20260312111929
20260312112034,800,0.7686,0.0063,19.70727,20260312112039
20260312112140,800,0.7686,0.0063,17.73906,20260312112149
20260312112246,800,0.7685,0.0063,17.70129,20260312112249
20260312112352,800,0.7685,0.0063,17.70689,20260312112359
20260312112457,800,0.7685,0.0063,17.87195,20260312112459
20260312112603,800,0.7684,0.0063,17.67611,20260312112609
20260312112709,800,0.7684,0.0063,19.32118,20260312112709
20260312112815,800,0.7684,0.0063,18.07619,20260312112819
20260312112920,800,0.7683,0.0063,17.74466,20260312112929
20260312113025,800,0.7683,0.0063,17.80201,20260312113029
20260312113131,800,0.7683,0.0063,17.72787,20260312113139
20260312113236,800,0.7682,0.0063,17.79502,20260312113239
20260312113342,800,0.7682,0.0063,19.04281,20260312113349
20260312113447,800,0.7682,0.0063,17.68031,20260312113449
20260312113552,800,0.7681,0.0063,17.75025,20260312113559
20260312113659,800,0.7681,0.0063,17.76144,20260312113659
20260312113804,800,0.7681,0.0063,17.91112,20260312113809
20260312113910,800,0.768,0.0063,17.94889,20260312113919
20260312114015,800,0.768,0.0063,17.68311,20260312114019
20260312114121,800,0.768,0.0064,18.63014,20260312114129
20260312114228,800,0.7679,0.0064,17.83558,20260312114229
20260312114334,800,0.7679,0.0064,17.90133,20260312114339
20260312114439,800,0.7679,0.0064,17.87055,20260312114439
20260312114545,800,0.7678,0.0064,17.73626,20260312114549
20260312114651,800,0.7678,0.0064,17.62296,20260312114659
20260312114758,800,0.7678,0.0064,18.09018,20260312114759
20260312114904,800,0.7677,0.0064,17.80481,20260312114909
20260312115009,800,0.7677,0.0064,17.87055,20260312115009
20260312115114,800,0.7677,0.0064,17.92791,20260312115119
20260312115219,800,0.7676,0.0064,18.28602,20260312115219
