time,cpu_frequency,cpu_usage,sda_usage
20260312110240,800,0.7692,0.0063
20260312110401,800,0.7691,0.0063
20260312110509,800,0.7691,0.0063
20260312110615,800,0.7691,0.0063
20260312110722,800,0.769,0.0063
20260312110828,800,0.769,0.0063
20260312110934,800,0.769,0.0063
20260312111040,800,0.7689,0.0063
20260312111147,800,0.7689,0.0063
20260312111253,800,0.7688,0.0063
20260312111359,800,0.7688,0.0063
20260312111505,800,0.7688,0.0063
20260312111611,800,0.7687,0.0063
20260312111718,800,0.7687,0.0063
20260312111824,800,0.7687,0.0063
20260312111928,800,0.7686,0.0063
20260312112034,800,0.7686,0.0063
20260312112140,800,0.7686,0.0063
20260312112246,800,0.7685,0.0063
20260312112352,800,0.7685,0.0063
20260312112457,800,0.7685,0.0063
20260312112603,800,0.7684,0.0063
20260312112709,800,0.7684,0.0063
20260312112815,800,0.7684,0.0063
20260312112920,800,0.7683,0.0063
20260312113025,800,0.7683,0.0063
20260312113131,800,0.7683,0.0063
20260312113236,800,0.7682,0.0063
20260312113342,800,0.7682,0.0063
20260312113447,800,0.7682,0.0063
20260312113552,800,0.7681,0.0063
20260312113659,800,0.7681,0.0063
20260312113804,800,0.7681,0.0063
20260312113910,800,0.768,0.0063
20260312114015,800,0.768,0.0063
20260312114121,800,0.768,0.0064
20260312114228,800,0.7679,0.0064
20260312114334,800,0.7679,0.0064
20260312114439,800,0.7679,0.0064
20260312114545,800,0.7678,0.0064
20260312114651,800,0.7678,0.0064
20260312114758,800,0.7678,0.0064
20260312114904,800,0.7677,0.0064
20260312115009,800,0.7677,0.0064
20260312115114,800,0.7677,0.0064
20260312115219,800,0.7676,0.0064
20260312115325,800,0.7676,0.0064
20260312115432,800,0.7676,0.0064
20260312115538,800,0.7675,0.0064
20260312115643,800,0.7675,0.0064
20260312115749,800,0.7675,0.0064
20260312115855,800,0.7674,0.0064
20260312120001,800,0.7674,0.0064
20260312120106,800,0.7674,0.0064
20260312120212,800,0.7673,0.0064
20260312120318,800,0.7673,0.0064
20260312120425,800,0.7673,0.0064
20260312120532,800,0.7672,0.0064
20260312120638,800,0.7672,0.0064
20260312120744,800,0.7672,0.0064
20260312120850,800,0.7671,0.0064
20260312120955,800,0.7671,0.0064
20260312121101,800,0.767,0.0064
20260312121205,800,0.767,0.0064
20260312121311,800,0.767,0.0064
20260312121416,800,0.767,0.0064
20260312121522,800,0.7669,0.0064
20260312121627,800,0.7669,0.0064
20260312121732,800,0.7669,0.0064
20260312121838,800,0.7668,0.0064
20260312121944,800,0.7668,0.0064
20260312122048,800,0.7668,0.0064
20260312122155,800,0.7667,0.0064
20260312122259,800,0.7667,0.0064
20260312122405,800,0.7667,0.0064
20260312122510,800,0.7666,0.0064
20260312122615,800,0.7666,0.0064
20260312122721,800,0.7666,0.0064
20260312122826,800,0.7665,0.0064
20260312122932,800,0.7665,0.0064
20260312123038,800,0.7665,0.0064
20260312123142,800,0.7664,0.0064
20260312123248,800,0.7664,0.0064
20260312123354,800,0.7664,0.0064
20260312123501,800,0.7663,0.0064
20260312123607,800,0.7663,0.0064
20260312123712,800,0.7663,0.0064
20260312123817,800,0.7662,0.0064
20260312123922,800,0.7662,0.0064
20260312124028,800,0.7662,0.0064
20260312124132,800,0.7661,0.0064
20260312124238,800,0.7661,0.0064
20260312124344,800,0.7661,0.0064
20260312124450,800,0.766,0.0064
20260312124556,800,0.766,0.0064
20260312124702,800,0.7659,0.0064
20260312124807,800,0.7659,0.0064
20260312124913,800,0.7659,0.0064
20260312125017,800,0.7658,0.0064
20260312125124,800,0.7658,0.0064
20260312125438,1300,0.7657,0.0064
20260312125533,1300,0.7656,0.0064
20260312125629,1300,0.7656,0.0064
20260312125724,1300,0.7656,0.0064
20260312125818,1300,0.7656,0.0064
20260312125914,1300,0.7655,0.0064
20260312130009,1300,0.7655,0.0064
20260312130104,1300,0.7655,0.0064
20260312130159,1300,0.7655,0.0064
20260312130253,1300,0.7654,0.0064
20260312130348,1300,0.7654,0.0064
20260312130443,1300,0.7654,0.0064
20260312130538,1300,0.7654,0.0064
20260312130633,1300,0.7653,0.0064
20260312130728,1300,0.7653,0.0064
20260312130824,1300,0.7653,0.0064
20260312130919,1300,0.7652,0.0064
20260312131013,1300,0.7652,0.0064
20260312131106,1300,0.7652,0.0064
20260312131201,1300,0.7652,0.0064
20260312131256,1300,0.7651,0.0064
20260312131351,1300,0.7651,0.0064
20260312131445,1300,0.7651,0.0064
20260312131539,1300,0.7651,0.0064
20260312131633,1300,0.765,0.0064
20260312131729,1300,0.765,0.0064
20260312131824,1300,0.765,0.0064
20260312131919,1300,0.765,0.0064
20260312132014,1300,0.7649,0.0064
20260312132109,1300,0.7649,0.0064
20260312132204,1300,0.7649,0.0064
20260312132259,1300,0.7648,0.0064
20260312132354,1300,0.7648,0.0064
20260312132449,1300,0.7648,0.0064
20260312132545,1300,0.7648,0.0064
20260312132639,1300,0.7647,0.0064
20260312132734,1300,0.7647,0.0064
20260312132830,1300,0.7647,0.0064
20260312132925,1300,0.7647,0.0064
20260312133019,1300,0.7646,0.0064
20260312133114,1300,0.7646,0.0064
20260312133208,1300,0.7646,0.0064
20260312133303,1300,0.7646,0.0064
20260312133358,1300,0.7645,0.0064
20260312133453,1300,0.7645,0.0064
20260312133547,1300,0.7645,0.0064
20260312133640,1300,0.7645,0.0064
20260312133735,1300,0.7644,0.0064
20260312133829,1300,0.7644,0.0064
20260312133924,1300,0.7644,0.0064
20260312134019,1300,0.7643,0.0064
20260312134115,1300,0.7643,0.0064
20260312134210,1300,0.7643,0.0064
20260312134305,1300,0.7643,0.0064
20260312134400,1300,0.7642,0.0064
20260312134455,1300,0.7642,0.0064
20260312134550,1300,0.7642,0.0064
20260312134645,1300,0.7642,0.0064
20260312134740,1300,0.7641,0.0064
20260312134835,1300,0.7641,0.0064
20260312134930,1300,0.7641,0.0064
20260312135025,1300,0.7641,0.0064
20260312135120,1300,0.764,0.0064
20260312135215,1300,0.764,0.0064
20260312135310,1300,0.764,0.0064
20260312135405,1300,0.7639,0.0065
20260312135458,1300,0.7639,0.0065
20260312135552,1300,0.7639,0.0065
20260312135648,1300,0.7639,0.0065
20260312135743,1300,0.7638,0.0065
20260312135838,1300,0.7638,0.0065
20260312135932,1300,0.7638,0.0065
20260312140027,1300,0.7638,0.0065
20260312140123,1300,0.7637,0.0065
20260312140218,1300,0.7637,0.0065
20260312140313,1300,0.7637,0.0065
20260312140408,1300,0.7637,0.0065
20260312140504,1300,0.7636,0.0065
20260312140557,1300,0.7636,0.0065
20260312140652,1300,0.7636,0.0065
20260312140746,1300,0.7636,0.0065
20260312140840,1300,0.7635,0.0065
20260312140935,1300,0.7635,0.0065
20260312141030,1300,0.7635,0.0065
