time,cpu_frequency,cpu_usage,sda_usage
20260325183314,800,0.5283,0.1296
20260325183503,800,0.5283,0.1296
20260325183645,800,0.5283,0.1296
20260325183825,800,0.5282,0.1296
20260325184004,800,0.5282,0.1296
20260325184145,800,0.5282,0.1296
20260325184327,800,0.5282,0.1296
20260325184504,800,0.5283,0.1296
20260325184645,800,0.5282,0.1295
20260325184823,800,0.5282,0.1295
20260325185122,1300,0.5282,0.1295
20260325185252,1300,0.5283,0.1295
20260325185415,1300,0.5283,0.1295
20260325185702,1300,0.5283,0.1295
20260325185824,1300,0.5283,0.1295
20260325185944,1300,0.5283,0.1295
20260325190105,1300,0.5283,0.1295
20260325190228,1300,0.5283,0.1295
20260325190350,1300,0.5283,0.1295
20260325190624,1600,0.5283,0.1295
20260325190739,1600,0.5283,0.1294
20260325190850,1600,0.5283,0.1294
20260325190959,1600,0.5283,0.1294
20260325191109,1600,0.5284,0.1294
20260325191220,1600,0.5284,0.1294
20260325191332,1600,0.5284,0.1294
20260325191442,1600,0.5284,0.1294
20260325191555,1600,0.5284,0.1294
20260325191705,1600,0.5284,0.1294
20260325191923,2000,0.5284,0.1294
20260325192031,2000,0.5284,0.1294
20260325192136,2000,0.5284,0.1294
20260325192240,2000,0.5284,0.1294
20260325192344,2000,0.5284,0.1294
20260325192448,2000,0.5285,0.1294
20260325192552,2000,0.5285,0.1294
20260325192656,2000,0.5285,0.1294
20260325192801,2000,0.5285,0.1294
20260325192906,2000,0.5285,0.1294
20260325193119,2400,0.5285,0.1293
20260325193220,2400,0.5285,0.1293
20260325193319,2400,0.5285,0.1293
20260325193418,2400,0.5285,0.1293
20260325193517,2400,0.5285,0.1293
20260325193617,2400,0.5285,0.1293
20260325193715,2400,0.5286,0.1293
20260325193814,2400,0.5286,0.1293
20260325193913,2400,0.5286,0.1293
20260325194010,2400,0.5286,0.1293
