time,cpu_freq,hadoop_idx,cpu_idle,sda_idle
20260323173818,800,0,0.5173,0.1341
20260323173819,800,0,0.5173,0.1341
20260323173820,800,0,0.5173,0.1341
20260323173821,800,0,0.5173,0.1341
20260323173822,800,0,0.5173,0.1341
20260323173823,800,0,0.5173,0.1341
20260323173824,800,0,0.5173,0.1341
20260323173825,800,0,0.5173,0.1341
20260323173826,800,0,0.5173,0.1341
20260323173827,800,0,0.5173,0.1341
20260323173828,800,0,0.5173,0.1341
20260323173829,800,0,0.5173,0.1341
20260323173830,800,0,0.5173,0.1341
20260323173831,800,0,0.5173,0.1341
20260323173832,800,0,0.5173,0.1341
20260323173833,800,0,0.5173,0.1341
20260323173834,800,0,0.5173,0.1341
20260323173835,800,0,0.5173,0.1341
20260323173836,800,0,0.5173,0.1341
20260323173837,800,0,0.5173,0.1341
20260323173838,800,0,0.5173,0.1341
20260323173839,800,0,0.5173,0.1341
20260323173840,800,0,0.5173,0.1341
20260323173841,800,0,0.5173,0.1341
20260323173842,800,0,0.5173,0.1341
20260323173843,800,0,0.5173,0.1341
20260323173844,800,0,0.5173,0.1341
20260323173845,800,0,0.5173,0.1341
20260323173846,800,0,0.5173,0.1341
20260323173847,800,0,0.5173,0.1341
20260323173848,800,0,0.5173,0.1341
20260323173849,800,0,0.5173,0.1341
20260323173850,800,0,0.5173,0.1341
20260323173851,800,0,0.5173,0.1341
20260323173852,800,0,0.5173,0.1341
20260323173853,800,0,0.5173,0.1341
20260323173854,800,0,0.5173,0.1341
20260323173855,800,0,0.5173,0.1341
20260323173857,800,0,0.5173,0.1341
20260323173858,800,0,0.5173,0.1341
20260323173859,800,0,0.5173,0.1341
20260323173900,800,0,0.5173,0.1341
20260323173901,800,0,0.5173,0.1341
20260323173902,800,0,0.5173,0.1341
20260323173903,800,0,0.5173,0.1341
20260323173904,800,0,0.5173,0.1341
20260323173905,800,0,0.5173,0.1341
20260323173906,800,0,0.5173,0.1341
20260323173907,800,0,0.5173,0.1341
20260323173908,800,0,0.5173,0.1341
20260323173910,800,0,0.5173,0.1341
20260323173911,800,0,0.5173,0.1341
20260323173912,800,0,0.5173,0.1341
20260323173913,800,0,0.5173,0.1341
20260323173914,800,0,0.5173,0.1341
20260323173915,800,0,0.5173,0.1341
20260323173916,800,0,0.5173,0.1341
20260323173917,800,0,0.5173,0.1341
20260323173918,800,0,0.5173,0.1341
20260323173919,800,0,0.5173,0.1341
20260323173920,800,0,0.5173,0.1341
20260323173921,800,0,0.5173,0.1341
20260323173922,800,0,0.5173,0.1341
20260323173923,800,0,0.5173,0.1341
20260323173924,800,0,0.5173,0.1341
20260323173925,800,0,0.5173,0.1341
20260323173927,800,0,0.5173,0.1341
20260323173928,800,0,0.5173,0.1341
20260323173929,800,0,0.5173,0.1341
20260323173930,800,0,0.5173,0.1341
20260323173931,800,0,0.5173,0.1341
20260323173932,800,0,0.5173,0.1341
20260323173933,800,0,0.5173,0.1341
20260323173934,800,0,0.5173,0.1341
20260323173935,800,0,0.5173,0.1341
20260323173936,800,0,0.5173,0.1341
20260323173937,800,0,0.5173,0.1341
20260323173938,800,0,0.5173,0.1341
20260323173939,800,0,0.5173,0.1341
20260323173940,800,0,0.5173,0.1341
20260323173941,800,0,0.5173,0.1341
20260323173942,800,0,0.5173,0.1341
20260323173943,800,0,0.5173,0.1341
20260323173944,800,0,0.5173,0.1341
20260323173945,800,0,0.5173,0.1341
20260323173946,800,0,0.5173,0.1341
20260323173947,800,0,0.5173,0.1341
20260323173948,800,0,0.5173,0.1341
20260323173950,800,0,0.5173,0.1341
20260323173951,800,0,0.5173,0.1341
20260323173952,800,0,0.5173,0.1341
20260323173953,800,0,0.5173,0.1341
20260323173954,800,0,0.5173,0.1341
20260323173955,800,0,0.5173,0.1341
20260323173956,800,0,0.5173,0.1341
20260323173957,800,0,0.5173,0.1341
20260323173958,800,0,0.5173,0.1341
20260323173959,800,0,0.5173,0.1341
20260323174000,800,0,0.5173,0.1341
20260323174001,800,0,0.5173,0.1341
20260323174002,800,0,0.5173,0.1341
20260323174004,800,0,0.5173,0.1341
20260323174005,800,0,0.5173,0.1341
20260323174006,800,0,0.5173,0.1341
20260323174007,800,0,0.5173,0.1341
20260323174008,800,0,0.5173,0.1341
20260323174009,800,0,0.5173,0.1341
20260323174010,800,0,0.5173,0.1341
20260323174011,800,0,0.5173,0.1341
20260323174012,800,0,0.5173,0.1341
20260323174013,800,0,0.5173,0.1341
20260323174014,800,0,0.5173,0.1341
20260323174015,800,0,0.5173,0.1341
20260323174016,800,0,0.5173,0.1341
20260323174017,800,0,0.5173,0.1341
20260323174018,800,0,0.5173,0.1341
20260323174019,800,0,0.5173,0.1341
20260323174020,800,0,0.5173,0.1341
20260323174021,800,0,0.5173,0.1341
20260323174022,800,0,0.5173,0.1341
20260323174023,800,0,0.5173,0.1341
20260323174024,800,0,0.5173,0.1341
20260323174025,800,0,0.5173,0.1341
20260323174026,800,0,0.5173,0.1341
20260323174027,800,0,0.5173,0.1341
20260323174028,800,0,0.5173,0.1341
20260323174029,800,0,0.5173,0.1341
20260323174030,800,0,0.5173,0.1341
20260323174032,800,0,0.5173,0.1341
20260323174033,800,0,0.5173,0.1341
20260323174034,800,0,0.5173,0.1341
20260323174035,800,0,0.5173,0.1341
20260323174036,800,0,0.5173,0.1341
20260323174037,800,0,0.5173,0.1341
20260323174038,800,0,0.5173,0.1341
20260323174039,800,0,0.5173,0.1341
20260323174040,800,0,0.5173,0.1341
20260323174041,800,0,0.5173,0.1341
20260323174042,800,0,0.5173,0.1341
20260323174043,800,0,0.5173,0.1341
20260323174044,800,0,0.5173,0.1341
