param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,cpu_frequency,run_time
80,0.9,230,0.48,0.6,510,True,False,800,173
50,0.6,150,0.93,0.8,410,True,False,800,171
60,0.8,210,0.43,0.6,830,False,False,800,172
80,0.5,130,0.77,0.6,810,False,True,800,172
40,0.9,120,0.42,0.3,700,False,True,800,171
80,0.7,220,0.86,0.9,830,True,False,800,170
90,0.8,130,0.47,0.7,280,True,True,800,170
20,0.6,300,0.71,0.8,570,True,False,800,170
60,0.8,220,0.86,0.8,950,False,False,800,170
30,0.5,120,0.8,0.4,650,True,False,800,241
20,0.5,270,0.32,0.3,920,False,False,800,149
80,0.7,220,0.92,0.5,820,True,False,800,150
90,0.6,250,0.44,0.3,530,False,False,800,148
30,0.9,200,0.45,0.7,930,True,False,800,148
60,0.7,230,0.36,0.3,520,True,True,800,149
40,0.6,120,0.68,0.6,460,False,True,800,150
90,0.9,110,0.9,0.4,700,True,True,800,149
10,0.8,140,0.86,0.3,200,True,False,800,148
40,0.8,150,0.45,0.3,150,False,True,800,148
10,0.6,250,0.57,0.8,780,False,True,800,217
60,0.9,220,0.49,0.9,880,False,True,800,156
10,0.8,230,0.68,0.5,800,False,False,800,155
80,0.7,250,0.81,0.6,1000,True,False,800,155
20,0.7,170,0.31,0.3,130,False,False,800,154
70,0.7,250,0.64,0.3,710,False,False,800,155
50,0.8,260,0.59,0.5,910,False,False,800,154
30,0.8,120,1.0,0.7,230,False,False,800,155
20,0.5,270,0.95,0.3,910,True,False,800,154
50,0.6,160,1.0,0.9,950,True,False,800,154
80,0.7,270,0.93,0.6,460,False,False,800,221
70,0.6,240,0.83,0.8,790,True,True,800,152
10,0.7,110,0.46,0.9,430,True,True,800,151
10,0.5,190,0.84,0.3,840,True,False,800,151
70,0.6,210,0.86,0.6,780,False,True,800,151
20,0.7,190,0.38,0.6,300,False,True,800,152
20,0.5,190,0.71,0.8,320,True,True,800,151
30,0.6,200,0.67,0.4,130,True,True,800,151
20,0.9,280,0.52,0.5,710,True,True,800,151
30,0.9,200,0.46,0.5,750,True,True,800,151
90,0.5,240,0.41,0.7,820,True,False,800,213
90,0.5,220,0.75,0.7,670,False,True,800,149
60,0.8,290,0.57,0.9,390,False,True,800,150
70,0.5,220,0.39,0.6,770,False,True,800,149
30,0.5,280,0.44,0.9,940,True,False,800,149
90,0.6,100,0.35,0.5,860,True,True,800,150
20,0.7,100,0.31,0.8,610,False,False,800,150
20,0.8,180,0.98,0.3,1000,False,False,800,149
70,0.7,140,0.95,0.9,920,True,False,800,149
90,0.9,270,0.44,0.5,810,True,False,800,149
