time,cpu_freq,hadoop_idx,cpu_idle,sda_idle
20241107152529,800,0,0.9924,0.0
20241107152530,800,0,0.865,0.0
20241107152531,800,0,0.9325,0.0
20241107152532,800,0,0.9799,0.02
20241107152533,800,0,0.9899,0.0
20241107152534,800,0,0.9924,0.0
20241107152535,800,0,0.9874,0.0
20241107152536,800,0,0.9296,0.056
20241107152537,800,0,0.9499,0.0
20241107152538,800,0,0.9773,0.06
20241107152539,800,0,0.9899,0.0
20241107152540,800,0,0.9825,0.0
20241107152541,800,0,0.9899,0.004
20241107152542,800,0,0.9924,0.0
20241107152543,800,0,0.803,0.036
20241107152544,800,0,0.9196,0.0
20241107152545,800,0,0.985,0.0
20241107152546,800,0,0.9924,0.004
20241107152547,800,0,0.9826,0.0
20241107152548,800,0,0.9824,0.036
20241107152549,800,0,0.9899,0.0
20241107152550,800,0,1.0,0.0
20241107152551,800,0,0.9875,0.004
20241107152552,800,0,0.9521,0.0
20241107152553,800,0,0.7949,0.376
20241107152554,800,0,0.9925,0.0
20241107152555,800,0,0.9924,0.0
20241107152556,800,0,0.985,0.004
20241107152557,800,0,0.9826,0.0
20241107152558,800,0,0.9825,0.024
20241107152559,800,0,0.985,0.0
20241107152600,800,0,0.9875,0.0
20241107152601,800,0,0.8635,0.008
20241107152602,800,0,0.7946,0.004
20241107152603,800,0,0.9874,0.032
20241107152604,800,0,0.9899,0.0
20241107152605,800,0,0.9975,0.0
20241107152606,800,0,0.9774,0.092
20241107152607,800,0,0.7892,0.0
20241107152608,800,0,0.4238,0.04
20241107152609,800,0,0.3559,0.0
20241107152610,800,0,0.3484,0.0
20241107152611,800,0,0.4789,0.028
20241107152612,800,0,0.5291,0.12
20241107152613,800,0,0.2951,0.0
20241107152614,800,0,0.426,0.0
20241107152615,800,0,0.5025,0.0
20241107152616,800,0,0.9899,0.004
20241107152617,800,0,0.9899,0.0
20241107152618,800,0,0.9848,0.048
20241107152619,800,0,0.9874,0.0
20241107152620,800,0,0.8157,0.0
20241107152621,800,0,0.4773,0.004
20241107152622,800,0,0.3213,0.008
20241107152623,800,0,0.4333,0.028
20241107152624,800,0,0.5146,0.0
20241107152625,800,0,0.38,0.0
20241107152626,800,0,0.3508,0.0
20241107152627,800,0,0.1877,0.0
20241107152628,800,0,0.6486,0.02
20241107152629,800,0,0.9825,0.0
20241107152630,800,0,0.9799,0.0
20241107152631,800,0,0.9874,0.0
20241107152632,800,0,0.9899,0.004
20241107152633,800,0,0.9501,0.028
20241107152634,800,0,0.9849,0.0
20241107152635,800,0,0.9874,0.0
20241107152636,800,0,0.9674,0.0
20241107152637,800,0,0.9447,0.196
20241107152638,800,0,0.9798,0.028
20241107152639,800,0,0.9949,0.0
20241107152640,800,0,0.9849,0.0
20241107152641,800,0,0.9924,0.0
20241107152642,800,0,0.9772,0.004
20241107152643,800,0,0.8781,0.028
20241107152644,800,0,0.9899,0.0
20241107152645,800,0,0.98,0.0
20241107152646,800,0,0.9924,0.0
20241107152647,800,0,0.9899,0.004
20241107152648,800,0,0.9701,0.028
20241107152649,800,0,0.9874,0.0
20241107152650,800,0,0.98,0.0
20241107152651,800,0,0.9924,0.0
20241107152652,800,0,0.9874,0.0
20241107152653,800,0,0.9899,0.028
20241107152654,800,0,0.6858,0.0
20241107152655,800,0,0.9725,0.0
20241107152656,800,0,0.9594,0.0
20241107152657,800,0,0.9476,0.0
20241107152658,800,0,0.9271,0.024
20241107152659,800,0,0.9726,0.0
20241107152700,800,0,0.9899,0.0
20241107152701,800,0,0.985,0.0
20241107152702,800,0,0.9874,0.0
20241107152703,800,0,0.9874,0.016
20241107152704,800,0,0.9726,0.0
20241107152705,800,0,0.9776,0.0
20241107152706,800,0,0.9899,0.0
20241107152707,800,0,0.9899,0.0
20241107152708,800,0,0.9899,0.02
20241107152709,800,0,0.985,0.0
20241107152710,800,0,0.9874,0.0
20241107152711,800,0,0.9899,0.0
20241107152712,800,0,0.9899,0.0
20241107152713,800,0,0.9698,0.028
20241107152714,800,0,0.9899,0.0
20241107152715,800,0,0.6568,0.0
20241107152716,800,0,0.3,0.0
20241107152717,800,0,0.5478,0.0
20241107152718,800,0,0.3116,0.044
20241107152719,800,0,0.0524,0.0
20241107152720,800,0,0.025,0.0
20241107152721,800,0,0.1687,0.0
20241107152722,800,0,0.02,0.0
20241107152723,800,0,0.0825,0.04
20241107152724,800,0,0.1757,0.0
20241107152725,800,0,0.2233,0.004
20241107152726,800,0,0.9179,0.004
20241107152727,800,0,0.9849,0.0
20241107152728,800,0,0.5811,0.124
20241107152729,800,0,0.1439,0.06
20241107152730,800,0,0.0175,0.004
20241107152731,800,0,0.0025,0.0
20241107152732,800,0,0.0,0.008
20241107152733,800,0,0.0025,0.036
20241107152734,800,0,0.0075,0.016
20241107152735,800,0,0.0025,0.016
20241107152736,800,0,0.0025,0.0
20241107152737,800,0,0.0,0.004
20241107152738,800,0,0.0125,0.028
20241107152739,800,0,0.0349,0.008
20241107152740,800,0,0.16,0.004
20241107152741,800,0,0.8044,0.004
20241107152742,800,0,0.9673,0.0
20241107152743,800,0,0.7871,0.028
20241107152744,800,0,0.4231,0.008
20241107152745,800,0,0.3538,0.0
20241107152746,800,0,0.4528,0.0
20241107152747,800,0,0.4421,0.0
20241107152748,800,0,0.5116,0.024
20241107152749,800,0,0.3246,0.004
20241107152750,800,0,0.2222,0.0
20241107152751,800,0,0.4197,0.076
20241107152752,800,0,0.18,0.0
20241107152753,800,0,0.3267,0.0
20241107152754,800,0,0.8875,0.004
20241107152755,800,0,0.4092,0.012
20241107152756,800,0,0.0126,0.032
20241107152757,800,0,0.0125,0.0
20241107152758,800,0,0.0,0.0
20241107152759,800,0,0.0225,0.004
20241107152800,800,0,0.0,0.0
20241107152801,800,0,0.0,0.0
20241107152802,800,0,0.0151,0.032
20241107152803,800,0,0.0075,0.0
20241107152804,800,0,0.0397,0.0
20241107152805,800,0,0.0,0.004
20241107152806,800,0,0.1965,0.0
20241107152807,800,0,0.8193,0.044
20241107152808,800,0,0.9674,0.0
20241107152809,800,0,0.9698,0.0
20241107152810,800,0,0.9773,0.004
20241107152811,800,0,0.9749,0.0
20241107152812,800,0,0.908,0.088
20241107152813,800,0,0.9621,0.012
20241107152814,800,0,0.8942,0.0
20241107152815,800,0,0.9599,0.02
20241107152816,800,0,0.925,0.0
20241107152817,800,0,0.9623,0.044
20241107152818,800,0,0.935,0.012
20241107152819,800,0,0.8856,0.0
20241107152820,800,0,0.85,0.008
20241107152821,800,0,0.9394,0.0
20241107152822,800,0,0.9575,0.024
20241107152823,800,0,0.9776,0.0
20241107152824,800,0,0.9749,0.0
20241107152825,800,0,0.97,0.004
20241107152826,800,0,0.9223,0.0
20241107152827,800,0,0.9899,0.0
20241107152828,800,0,0.9677,0.036
20241107152829,800,0,0.985,0.0
20241107152830,800,0,0.9849,0.004
20241107152831,800,0,0.9924,0.0
20241107152832,800,0,0.9899,0.0
20241107152833,800,0,0.9749,0.028
20241107152834,800,0,0.9725,0.0
20241107152835,800,0,0.09,0.016
20241107152836,800,0,0.0025,0.0
20241107152837,800,0,0.0,0.0
20241107152838,800,0,0.0,0.036
20241107152839,800,0,0.0,0.0
20241107152840,800,0,0.0025,0.0
20241107152841,800,0,0.0,0.0
20241107152842,800,0,0.0,0.0
20241107152843,800,0,0.0,0.02
20241107152844,800,0,0.0,0.0
20241107152845,800,0,0.0025,0.004
20241107152846,800,0,0.0025,0.0
20241107152847,800,0,0.0,0.0
20241107152848,800,0,0.0025,0.02
20241107152849,800,0,0.4318,0.0158
20241107152850,800,0,0.0202,0.012
20241107152851,800,0,0.0025,0.008
20241107152852,800,0,0.0,0.0
20241107152853,800,0,0.0,0.024
20241107152854,800,0,0.0,0.0
20241107152855,800,0,0.0025,0.024
20241107152856,800,0,0.0,0.008
20241107152857,800,0,0.0,0.0
20241107152858,800,0,0.0025,0.024
20241107152859,800,0,0.0025,0.0238
20241107152900,800,0,0.0,0.02
20241107152901,800,0,0.0,0.012
20241107152902,800,0,0.0,0.008
20241107152903,800,0,0.0,0.024
20241107152904,800,0,0.0,0.0
20241107152905,800,0,0.3852,0.012
20241107152906,800,0,0.9748,0.008
20241107152907,800,0,0.9723,0.0
20241107152908,800,0,0.9547,0.0
20241107152909,800,0,0.9849,0.032
20241107152910,800,0,0.9799,0.0
20241107152911,800,0,0.9924,0.004
20241107152912,800,0,0.98,0.0
20241107152913,800,0,0.9949,0.0
20241107152914,800,0,0.9775,0.032
20241107152915,800,0,0.9874,0.0
20241107152916,800,0,0.9825,0.004
20241107152917,800,0,0.9899,0.0
20241107152918,800,0,0.9776,0.0
20241107152919,800,0,0.9039,0.02
20241107152920,800,0,0.937,0.096
20241107152921,800,0,0.0882,0.016
20241107152922,800,0,0.0,0.0
20241107152923,800,0,0.0,0.0
20241107152924,800,0,0.0,0.0
20241107152925,800,0,0.0,0.032
20241107152926,800,0,0.0025,0.004
20241107152927,800,0,0.0,0.0
20241107152928,800,0,0.0,0.0
20241107152929,800,0,0.0,0.0
20241107152930,800,0,0.0025,0.028
20241107152931,800,0,0.0,0.0
20241107152932,800,0,0.0,0.008
20241107152933,800,0,0.0,0.0
20241107152934,800,0,0.015,0.004
20241107152935,800,0,0.7438,0.012
20241107152936,800,0,0.4272,0.028
20241107153111,800,1,0.9523,0.0
20241107153112,800,1,0.7778,0.0
20241107153113,800,1,0.9372,0.036
20241107153114,800,1,0.9849,0.004
20241107153115,800,1,0.9849,0.0
20241107153116,800,1,0.9799,0.0
20241107153117,800,1,0.97,0.0
20241107153118,800,1,0.93,0.036
20241107153119,800,1,0.9747,0.008
20241107153120,800,1,0.9924,0.0
20241107153121,800,1,0.9949,0.0
20241107153122,800,1,0.9776,0.0
20241107153123,800,1,0.9874,0.028
20241107153124,800,1,0.9924,0.004
20241107153125,800,1,0.7627,0.0
20241107153126,800,1,0.9401,0.0
20241107153127,800,1,0.9875,0.0
20241107153128,800,1,0.9824,0.032
20241107153129,800,1,0.9925,0.004
20241107153130,800,1,0.9924,0.0
20241107153131,800,1,0.985,0.0
20241107153132,800,1,0.995,0.0
20241107153133,800,1,0.9849,0.032
20241107153134,800,1,0.9875,0.004
20241107153135,800,1,0.9924,0.0
20241107153136,800,1,0.9925,0.0
20241107153137,800,1,0.9924,0.0
20241107153138,800,1,0.9849,0.032
20241107153139,800,1,0.9899,0.0
20241107153140,800,1,0.9875,0.004
20241107153141,800,1,0.99,0.0
20241107153142,800,1,0.9899,0.0
20241107153143,800,1,0.7525,0.032
20241107153144,800,1,0.9244,0.008
20241107153145,800,1,0.9799,0.112
20241107153146,800,1,0.9899,0.0
