task,node,requested_node,parameter,label,baseline_value,optimized_value,delta,shapley_energy_reduction,baseline_energy,optimized_energy,total_predicted_reduction,reported_initial_energy,reported_optimized_energy,baseline_energy_percentile,optimized_energy_percentile,candidate_median_energy,candidate_best_energy
TeraSort,slave1,slave1,param_1,Map Task Slots,10.0,47.0,37.0,631.8899524360895,8969.8056640625,8101.5458984375,868.259765625,8980.4756,8175.2783,100.0,73.33333333333333,7011.79296875,750.5953979492188
TeraSort,slave1,slave1,param_2,Reduce Slowstart,0.699999988079071,0.67,-0.029999988079071005,-166.6038141194731,8969.8056640625,8101.5458984375,868.259765625,8980.4756,8175.2783,100.0,73.33333333333333,7011.79296875,750.5953979492188
TeraSort,slave1,slave1,param_3,Sort Buffer,110.0,183.0,73.0,967.2913692481816,8969.8056640625,8101.5458984375,868.259765625,8980.4756,8175.2783,100.0,73.33333333333333,7011.79296875,750.5953979492188
TeraSort,slave1,slave1,param_4,Spill Percent,0.46000000834465027,0.59,0.1299999916553497,221.51160587999038,8969.8056640625,8101.5458984375,868.259765625,8980.4756,8175.2783,100.0,73.33333333333333,7011.79296875,750.5953979492188
TeraSort,slave1,slave1,param_5,Merge Factor,0.8999999761581421,0.55,-0.34999997615814205,-777.262156877201,8969.8056640625,8101.5458984375,868.259765625,8980.4756,8175.2783,100.0,73.33333333333333,7011.79296875,750.5953979492188
TeraSort,slave1,slave1,param_6,JVM Heap,430.0,474.0,44.0,-14.975715473890887,8969.8056640625,8101.5458984375,868.259765625,8980.4756,8175.2783,100.0,73.33333333333333,7011.79296875,750.5953979492188
TeraSort,slave1,slave1,param_7,Native Task,1.0,0.0,-1.0,-1271.0328453183174,8969.8056640625,8101.5458984375,868.259765625,8980.4756,8175.2783,100.0,73.33333333333333,7011.79296875,750.5953979492188
TeraSort,slave1,slave1,param_8,Compress Output,1.0,0.0,-1.0,1122.433003667742,8969.8056640625,8101.5458984375,868.259765625,8980.4756,8175.2783,100.0,73.33333333333333,7011.79296875,750.5953979492188
TeraSort,slave1,slave1,cpu_frequency,CPU Frequency,2000.0,1800.0,-200.0,155.00838441106316,8969.8056640625,8101.5458984375,868.259765625,8980.4756,8175.2783,100.0,73.33333333333333,7011.79296875,750.5953979492188
PiEstimator,master,slave1,param_1,Map Task Slots,20.0,100.0,80.0,146.82956401779393,4034.96240234375,2966.350341796875,1068.612060546875,8210.2871,6664.6245,100.0,40.963855421686745,3164.287841796875,584.00439453125
PiEstimator,master,slave1,param_2,Reduce Slowstart,0.699999988079071,0.9,0.20000001192092898,155.95500378721044,4034.96240234375,2966.350341796875,1068.612060546875,8210.2871,6664.6245,100.0,40.963855421686745,3164.287841796875,584.00439453125
PiEstimator,master,slave1,param_3,Sort Buffer,270.0,300.0,30.0,45.71281709312461,4034.96240234375,2966.350341796875,1068.612060546875,8210.2871,6664.6245,100.0,40.963855421686745,3164.287841796875,584.00439453125
PiEstimator,master,slave1,param_4,Spill Percent,0.8600000143051147,1.0,0.13999998569488525,116.15038345031644,4034.96240234375,2966.350341796875,1068.612060546875,8210.2871,6664.6245,100.0,40.963855421686745,3164.287841796875,584.00439453125
PiEstimator,master,slave1,param_5,Merge Factor,0.800000011920929,0.9,0.09999998807907107,112.50363473003381,4034.96240234375,2966.350341796875,1068.612060546875,8210.2871,6664.6245,100.0,40.963855421686745,3164.287841796875,584.00439453125
PiEstimator,master,slave1,param_6,JVM Heap,320.0,999.0,679.0,277.57310451848025,4034.96240234375,2966.350341796875,1068.612060546875,8210.2871,6664.6245,100.0,40.963855421686745,3164.287841796875,584.00439453125
