time,cpu_frequency,cpu_usage,sda_usage
20260325154434,800,0.5263,0.1304
20260325154727,800,0.5263,0.1304
20260325155018,800,0.5263,0.1304
20260325155310,800,0.5264,0.1304
20260325155602,800,0.5264,0.1304
20260325155853,800,0.5264,0.1304
20260325160143,800,0.5264,0.1303
20260325160433,800,0.5264,0.1303
20260325160723,800,0.5264,0.1303
20260325161013,800,0.5265,0.1303
20260325161414,3200,0.5265,0.1303
20260325161643,3200,0.5265,0.1303
20260325161913,3200,0.5265,0.1303
20260325162141,3200,0.5266,0.1302
20260325162409,3200,0.5266,0.1302
20260325162638,3200,0.5266,0.1302
20260325162908,3200,0.5267,0.1302
20260325163137,3200,0.5267,0.1302
20260325163405,3200,0.5267,0.1302
20260325163633,3200,0.5268,0.1302
20260325164010,2000,0.5268,0.1302
20260325164246,2000,0.5269,0.1301
20260325164521,2000,0.5269,0.1301
20260325164756,2000,0.5269,0.1301
20260325165030,2000,0.5269,0.1301
20260325165305,2000,0.527,0.1301
20260325165539,2000,0.527,0.1301
20260325165814,2000,0.527,0.1301
20260325170048,2000,0.5271,0.1301
20260325170322,2000,0.5271,0.13
20260325170703,2300,0.5271,0.13
20260325170935,2300,0.5272,0.13
20260325171206,2300,0.5272,0.13
20260325171437,2300,0.5272,0.13
20260325171708,2300,0.5273,0.13
20260325171940,2300,0.5273,0.13
20260325172211,2300,0.5273,0.13
20260325172442,2300,0.5273,0.1299
20260325172713,2300,0.5274,0.1299
20260325172944,2300,0.5274,0.1299
20260325173317,3000,0.5275,0.1299
20260325173546,3000,0.5275,0.1299
20260325173816,3000,0.5275,0.1299
20260325174045,3000,0.5275,0.1299
20260325174314,3000,0.5276,0.1299
20260325174544,3000,0.5276,0.1298
20260325174814,3000,0.5276,0.1298
20260325175043,3000,0.5277,0.1298
20260325175312,3000,0.5277,0.1298
20260325175541,3000,0.5277,0.1298
