time,cpu_frequency,cpu_usage,sda_usage,active_power,power_time
20241107152115,800,0.0973,0.0,29.34268,20241107152119
20241107152529,800,0.9459,0.02,23.31076,20241107152529
20241107152645,800,0.9089,0.0,24.64248,20241107152645
20241107153111,800,0.9223,0.02,23.02399,20241107153115
20241107153227,800,0.9548,0.004,23.18766,20241107153226
20241107153652,800,0.9219,0.016,23.1317,20241107153656
20241107153807,800,0.9167,0.0,23.08274,20241107153807
20241107154224,800,0.7002,0.02,27.27235,20241107154225
20241107154338,800,0.9548,0.004,23.10233,20241107154336
20241107154750,800,0.9219,0.012,30.53172,20241107154759
20241107154905,800,0.9183,0.0,30.95138,20241107154909
20241107155319,800,0.7469,0.012,23.54996,20241107155315
20241107155433,800,0.9523,0.008,30.57229,20241107155436
20241107155841,800,0.6743,0.028,23.2604,20241107155847
20241107155956,800,0.8035,0.004,30.41282,20241107155958
20241107160412,800,0.787,0.012,25.24259,20241107160419
20241107160527,800,0.799,0.012,28.43062,20241107160529
20241107160939,800,0.9123,0.016,24.35431,20241107160936
20241107161054,800,0.9471,0.004,26.69042,20241107161056
20241107161506,800,0.7543,0.012,27.04714,20241107161508
20241107161621,800,0.7246,0.008,27.88506,20241107161628
20241107162034,800,0.9373,0.012,24.72641,20241107162039
20241107162150,800,0.6502,0.008,27.32551,20241107162155
20241107162603,800,0.7654,0.02,23.57095,20241107162606
20241107162718,800,0.8713,0.0,23.259,20241107162716
20241107163139,800,0.9171,0.016,23.41148,20241107163137
20241107163254,800,0.9375,0.0,30.60166,20241107163257
20241107163711,800,0.907,0.008,23.1345,20241107163718
20241107163826,800,0.9323,0.008,30.53312,20241107163828
20241107164247,800,0.9244,0.02,25.07473,20241107164249
20241107164403,800,0.6229,0.008,30.42541,20241107164409
20241107164822,800,0.7175,0.016,23.09533,20241107164826
20241107164937,800,0.7027,0.012,23.33454,20241107164936
20241107165351,800,0.9279,0.012,23.19605,20241107165357
20241107165507,800,0.6806,0.008,27.95081,20241107165508
20241107165918,800,0.7513,0.016,26.90305,20241107165919
20241107170033,800,0.9303,0.0,23.49121,20241107170034
20241107170451,800,0.7601,0.024,22.93306,20241107170456
20241107170606,800,0.8672,0.0,23.14709,20241107170606
20241107171021,800,0.7717,0.02,24.39768,20241107171028
20241107171136,800,0.8284,0.004,30.69259,20241107171139
20241107171559,800,0.7463,0.028,23.80176,20241107171555
20241107171714,800,0.665,0.008,26.3435,20241107171715
20241107172120,800,0.9521,0.004,23.1303,20241107172126
20241107172235,800,0.9238,0.0,27.28354,20241107172237
20241107172647,800,0.9646,0.016,28.02215,20241107172649
20241107172802,800,0.9772,0.0,28.00256,20241107172805
20241107173215,800,0.9624,0.004,23.78497,20241107173216
20241107173331,800,0.9237,0.004,26.38128,20241107173336
20241107173747,800,0.9674,0.0,24.1179,20241107173747
