time,cpu_frequency,cpu_usage,sda_usage
20241107152115,800,0.0973,0.0
20241107152529,800,0.9459,0.02
20241107152645,800,0.9089,0.0
20241107153111,800,0.9223,0.02
20241107153227,800,0.9548,0.004
20241107153652,800,0.9219,0.016
20241107153807,800,0.9167,0.0
20241107154224,800,0.7002,0.02
20241107154338,800,0.9548,0.004
20241107154750,800,0.9219,0.012
20241107154905,800,0.9183,0.0
20241107155319,800,0.7469,0.012
20241107155433,800,0.9523,0.008
20241107155841,800,0.6743,0.028
20241107155956,800,0.8035,0.004
20241107160412,800,0.787,0.012
20241107160527,800,0.799,0.012
20241107160939,800,0.9123,0.016
20241107161054,800,0.9471,0.004
20241107161506,800,0.7543,0.012
20241107161621,800,0.7246,0.008
20241107162034,800,0.9373,0.012
20241107162150,800,0.6502,0.008
20241107162603,800,0.7654,0.02
20241107162718,800,0.8713,0.0
20241107163139,800,0.9171,0.016
20241107163254,800,0.9375,0.0
20241107163711,800,0.907,0.008
20241107163826,800,0.9323,0.008
20241107164247,800,0.9244,0.02
20241107164403,800,0.6229,0.008
20241107164822,800,0.7175,0.016
20241107164937,800,0.7027,0.012
20241107165351,800,0.9279,0.012
20241107165507,800,0.6806,0.008
20241107165918,800,0.7513,0.016
20241107170033,800,0.9303,0.0
20241107170451,800,0.7601,0.024
20241107170606,800,0.8672,0.0
20241107171021,800,0.7717,0.02
20241107171136,800,0.8284,0.004
20241107171559,800,0.7463,0.028
20241107171714,800,0.665,0.008
20241107172120,800,0.9521,0.004
20241107172235,800,0.9238,0.0
20241107172647,800,0.9646,0.016
20241107172802,800,0.9772,0.0
20241107173215,800,0.9624,0.004
20241107173331,800,0.9237,0.004
20241107173747,800,0.9674,0.0
20241107173902,800,0.9446,0.0
20241107174309,800,0.9598,0.012
20241107174424,800,0.9772,0.012
20241107174838,800,0.8374,0.016
20241107174952,800,0.9698,0.008
20241107175415,800,0.8159,0.02
20241107175529,800,0.9526,0.0
20241107175938,800,0.9572,0.0
20241107180053,800,0.9673,0.0
20241107180507,800,0.8283,0.016
20241107180622,800,0.8747,0.004
20241107181043,800,0.8878,0.02
20241107181158,800,0.937,0.0
20241107181615,800,0.8465,0.008
20241107181735,800,0.8619,0.008
20241107182148,800,0.9566,0.02
20241107182303,800,0.8975,0.004
20241107182719,800,0.7313,0.024
20241107182833,800,0.9647,0.0
20241107183255,800,0.7694,0.02
20241107183410,800,0.8741,0.008
20241107183824,800,0.947,0.012
20241107183940,800,0.8095,0.004
20241107184403,800,0.7413,0.02
20241107184517,800,0.9323,0.008
20241107184940,800,0.9075,0.012
20241107185055,800,0.9494,0.0
20241107185510,800,0.89,0.012
20241107185625,800,0.8329,0.008
20241107190041,800,0.7236,0.008
20241107190155,800,0.9348,0.0
20241107190620,800,0.7076,0.02
20241107190735,800,0.6847,0.012
20241107191149,800,0.846,0.012
20241107191304,800,0.8507,0.008
20241107191717,800,0.7614,0.012
20241107191831,800,0.9023,0.004
20241107192247,800,0.724,0.004
20241107192402,800,0.596,0.008
20241107192818,800,0.7297,0.02
20241107192933,800,0.7767,0.008
20241107193346,800,0.7289,0.008
20241107193501,800,0.7816,0.004
20241107193915,800,0.8333,0.02
20241107194030,800,0.7579,0.008
20241107194445,800,0.734,0.012
20241107194600,800,0.698,0.012
20241107195021,800,0.7575,0.008
20241107195136,800,0.9444,0.004
20241107195600,800,0.9446,0.012
20241107195715,800,0.9347,0.0
20241107200127,800,0.9624,0.004
20241107200242,800,0.8839,0.0
20241107200656,800,0.9075,0.028
20241107200811,800,0.9444,0.0
20241107201239,800,0.9421,0.016
20241107201354,800,0.9746,0.0
20241107201812,800,0.865,0.016
20241107201926,800,0.9253,0.0
20241107202344,800,0.9024,0.016
20241107202458,800,0.9674,0.0
20241107202914,800,0.9246,0.016
20241107203029,800,0.9418,0.0
20241107203449,800,0.9254,0.008
20241107203604,800,0.9252,0.0
20241107204025,800,0.8354,0.02
20241107204140,800,0.8725,0.004
20241107204549,800,0.87,0.012
20241107204704,800,0.9198,0.0
20241107205120,800,0.8489,0.02
20241107205234,800,0.9721,0.008
20241107205652,800,0.7506,0.02
20241107205807,800,0.9318,0.004
20241107210221,800,0.907,0.016
20241107210336,800,0.9421,0.0
20241107210751,800,0.7469,0.02
20241107210906,800,0.7845,0.012
20241107211319,800,0.9048,0.012
20241107211434,800,0.8911,0.0
20241107211838,800,0.905,0.016
20241107211953,800,0.9352,0.0
20241107212414,800,0.9271,0.012
20241107212529,800,0.9544,0.0
20241107212941,800,0.9372,0.012
20241107213056,800,0.9144,0.012
20241107213508,800,0.7427,0.02
20241107213623,800,0.7366,0.008
20241107214036,800,0.8784,0.012
20241107214151,800,0.9173,0.004
20241107214611,800,0.8819,0.028
20241107214726,800,0.6845,0.016
20241107215145,800,0.782,0.016
20241107215300,800,0.7244,0.012
20241107215714,800,0.9167,0.008
20241107215829,800,0.93,0.004
20241107220252,800,0.7488,0.04
20241107220407,800,0.6463,0.012
20241107220829,800,0.6866,0.032
20241107220943,800,0.9471,0.004
20241107221403,800,0.904,0.02
20241107221518,800,0.9472,0.012
20241107221932,800,0.7935,0.024
20241107222047,800,0.7617,0.008
20241107222506,800,0.7239,0.0
20241107222621,800,0.9136,0.008
20241107223034,800,0.9673,0.008
20241107223149,800,0.9422,0.004
20241107223557,800,0.9523,0.004
20241107223712,800,0.9796,0.008
20241107224126,800,0.9649,0.004
20241107224242,800,0.9214,0.0
20241107224700,800,0.9695,0.008
20241107224816,800,0.8732,0.0
20241107225234,800,0.8832,0.028
20241107225349,800,0.9421,0.0
20241107225810,800,0.9345,0.016
20241107225925,800,0.9525,0.0
20241107230337,800,0.9401,0.012
20241107230452,800,0.9495,0.0
20241107230913,800,0.949,0.016
20241107231028,800,0.9797,0.004
20241107231445,800,0.9443,0.02
20241107231601,800,0.9298,0.004
20241107232018,800,0.9246,0.016
20241107232133,800,0.88,0.0
20241107232557,800,0.9626,0.008
20241107232712,800,0.9624,0.008
20241107233131,800,0.8998,0.012
20241107233246,800,0.9121,0.004
20241107233653,800,0.8897,0.016
20241107233809,800,0.8035,0.008
20241107234220,800,0.8437,0.012
20241107234335,800,0.9116,0.012
20241107234747,800,0.9322,0.012
20241107234902,800,0.8125,0.008
20241107235318,800,0.8291,0.02
20241107235433,800,0.9167,0.0
20241107235846,800,0.7617,0.016
20241108000001,800,0.8628,0.008
20241108000409,800,0.8575,0.016
20241108000524,800,0.9223,0.008
20241108000932,800,0.6749,0.016
20241108001047,800,0.8247,0.008
20241108001455,800,0.8329,0.012
20241108001610,800,0.7519,0.012
20241108002023,800,0.8504,0.012
20241108002138,800,0.9318,0.004
20241108002551,800,0.701,0.024
20241108002706,800,0.9372,0.004
20241108003127,800,0.7873,0.032
20241108003248,1000,0.9118,0.008
20241108003648,1000,0.8417,0.02
20241108003803,1000,0.6381,0.008
20241108004205,1000,0.7904,0.032
20241108004320,1000,0.6675,0.012
20241108004716,1000,0.6952,0.008
20241108004830,1000,0.8296,0.008
20241108005229,1000,0.9148,0.012
