time,cpu_frequency,cpu_usage,sda_usage
20241107152115,800,0.9949,0.0
20241107152529,800,0.9499,0.0
20241107152645,800,0.9874,0.0
20241107153111,800,0.9273,0.044
20241107153227,800,0.9874,0.0
20241107153652,800,0.9183,0.048
20241107153807,800,0.9874,0.0
20241107154224,800,0.7672,0.112
20241107154338,800,0.9899,0.0
20241107154750,800,0.9075,0.032
20241107154905,800,0.9825,0.004
20241107155319,800,0.7385,0.052
20241107155433,800,0.9825,0.0
20241107155841,800,0.7808,0.056
20241107155956,800,0.9849,0.0
20241107160412,800,0.8117,0.0
20241107160527,800,0.9825,0.0
20241107160939,800,0.9048,0.04
20241107161054,800,0.9823,0.032
20241107161506,800,0.9875,0.0
20241107161621,800,0.9924,0.0
20241107162034,800,0.9596,0.012
20241107162150,800,0.9825,0.0
20241107162603,800,0.9949,0.004
20241107162718,800,0.9776,0.0
20241107163139,800,0.9798,0.0
20241107163254,800,0.9824,0.028
20241107163711,800,0.9874,0.0
20241107163826,800,0.9899,0.02
20241107164247,800,0.9698,0.004
20241107164403,800,0.9849,0.0
20241107164822,800,0.9975,0.0
20241107164937,800,0.9774,0.028
20241107165351,800,0.9722,0.0
20241107165507,800,0.9825,0.0
20241107165918,800,0.9899,0.004
20241107170033,800,0.985,0.0
20241107170451,800,0.975,0.032
20241107170606,800,0.9799,0.0
20241107171021,800,0.9573,0.0
20241107171136,800,0.9924,0.0
20241107171559,800,0.9426,0.0
20241107171714,800,0.9752,0.004
20241107172120,800,0.98,0.004
20241107172235,800,0.9849,0.0
20241107172647,800,0.9924,0.0
20241107172802,800,0.9823,0.028
20241107173215,800,0.9373,0.0
20241107173331,800,0.9899,0.0
20241107173747,800,0.9899,0.02
20241107173902,800,0.9899,0.0
20241107174309,800,0.9824,0.036
20241107174424,800,0.9874,0.004
20241107174838,800,0.8243,0.064
20241107174952,800,0.9574,0.112
20241107175415,800,0.8177,0.044
20241107175529,800,0.9849,0.0
20241107175938,800,0.9874,0.0
20241107180053,800,0.9849,0.0
20241107180507,800,0.8084,0.0
20241107180622,800,0.9874,0.0
20241107181043,800,0.9825,0.004
20241107181158,800,0.9899,0.0
20241107181615,800,0.9599,0.0
20241107181735,800,0.9849,0.0
20241107182148,800,0.9325,0.0
20241107182303,800,0.9825,0.0
20241107182719,800,0.7841,0.06
20241107182833,800,0.9874,0.0
20241107183255,800,0.9899,0.0
20241107183410,800,0.9899,0.0
20241107183824,800,0.9773,0.0
20241107183940,800,0.9899,0.0
20241107184403,800,0.9899,0.0
20241107184517,800,0.9823,0.032
20241107184940,800,0.975,0.032
20241107185055,800,0.9848,0.028
20241107185510,800,0.9899,0.0
20241107185625,800,0.9873,0.032
20241107190041,800,0.9899,0.0
20241107190155,800,0.9798,0.028
20241107190620,800,0.9848,0.032
20241107190735,800,0.9824,0.0
20241107191149,800,0.9849,0.008
20241107191304,800,0.9824,0.028
20241107191717,800,0.9347,0.036
20241107191831,800,0.9873,0.028
20241107192247,800,0.9102,0.056
20241107192402,800,0.9899,0.0
20241107192818,800,0.9875,0.0
20241107192933,800,0.9798,0.032
20241107193346,800,0.905,0.044
20241107193501,800,0.9798,0.0
20241107193915,800,0.9598,0.0
20241107194030,800,0.9874,0.0
20241107194445,800,0.9086,0.008
20241107194600,800,0.955,0.124
20241107195021,800,0.8479,0.052
20241107195136,800,0.9874,0.0
20241107195600,800,0.8437,0.072
20241107195715,800,0.9924,0.0
20241107200127,800,0.9949,0.004
20241107200242,800,0.9824,0.0
20241107200656,800,0.8744,0.048
20241107200811,800,0.9825,0.0
20241107201239,800,0.9403,0.008
20241107201354,800,0.9874,0.0
20241107201812,800,0.8448,0.048
20241107201926,800,0.9749,0.036
20241107202344,800,0.8475,0.084
20241107202458,800,0.9798,0.04
20241107202914,800,0.8403,0.056
20241107203029,800,0.9874,0.0
20241107203449,800,0.8305,0.048
20241107203604,800,0.9823,0.028
20241107204025,800,0.7891,0.06
20241107204140,800,0.9899,0.0
20241107204549,800,0.8206,0.036
20241107204704,800,0.9825,0.0
20241107205120,800,0.9494,0.0
20241107205234,800,0.96,0.032
20241107205652,800,0.9899,0.028
20241107205807,800,0.9924,0.0
20241107210221,800,0.9924,0.0
20241107210336,800,0.9848,0.036
20241107210751,800,0.9572,0.0
20241107210906,800,0.9751,0.0
20241107211319,800,0.9377,0.0
20241107211434,800,0.9849,0.0
20241107211838,800,0.9949,0.0
20241107211953,800,0.9749,0.044
20241107212414,800,0.957,0.0
20241107212529,800,0.9873,0.028
20241107212941,800,0.9798,0.036
20241107213056,800,0.9848,0.032
20241107213508,800,0.9398,0.032
20241107213623,800,0.9924,0.0
20241107214036,800,0.9924,0.0
20241107214151,800,0.9823,0.036
20241107214611,800,0.9874,0.0
20241107214726,800,0.9899,0.0
20241107215145,800,0.9499,0.0
20241107215300,800,0.9776,0.0
20241107215714,800,0.9545,0.004
20241107215829,800,0.9823,0.032
20241107220252,800,0.9499,0.008
20241107220407,800,0.9825,0.0
20241107220829,800,0.9874,0.0
20241107220943,800,0.9401,0.16
20241107221403,800,0.9924,0.0
20241107221518,800,0.9749,0.032
20241107221932,800,0.9899,0.0
20241107222047,800,0.9874,0.0
20241107222506,800,0.9125,0.0
20241107222621,800,0.9924,0.0
20241107223034,800,0.9924,0.0
20241107223149,800,0.9924,0.004
20241107223557,800,0.9752,0.0
20241107223712,800,0.9748,0.116
20241107224126,800,0.9523,0.0
20241107224242,800,0.985,0.0
