time,cpu_frequency,cpu_usage,sda_usage,active_power,power_time
20260325183314,800,0.5283,0.1296,31.1498,20260325183319
20260325183503,800,0.5283,0.1296,31.34182,20260325183509
20260325183645,800,0.5283,0.1296,27.92106,20260325183649
20260325183825,800,0.5282,0.1296,28.69701,20260325183829
20260325184004,800,0.5282,0.1296,31.38259,20260325184009
20260325184145,800,0.5282,0.1296,29.42562,20260325184149
20260325184327,800,0.5282,0.1296,29.54793,20260325184329
20260325184504,800,0.5283,0.1296,31.0104,20260325184509
20260325184645,800,0.5282,0.1295,28.05389,20260325184649
20260325184823,800,0.5282,0.1295,28.94952,20260325184829
20260325185122,1300,0.5282,0.1295,28.44976,20260325185129
20260325185252,1300,0.5283,0.1295,31.65351,20260325185259
20260325185415,1300,0.5283,0.1295,29.7452,20260325185419
20260325185702,1300,0.5283,0.1295,32.29269,20260325185709
20260325185824,1300,0.5283,0.1295,31.36418,20260325185829
20260325185944,1300,0.5283,0.1295,30.73289,20260325185949
20260325190105,1300,0.5283,0.1295,29.45718,20260325190109
20260325190228,1300,0.5283,0.1295,31.51673,20260325190229
20260325190350,1300,0.5283,0.1295,30.81049,20260325190359
20260325190624,1600,0.5283,0.1295,31.84158,20260325190629
20260325190739,1600,0.5283,0.1294,29.06789,20260325190739
20260325190850,1600,0.5283,0.1294,31.84421,20260325190859
20260325190959,1600,0.5283,0.1294,27.92632,20260325190959
20260325191109,1600,0.5284,0.1294,26.62036,20260325191109
20260325191220,1600,0.5284,0.1294,32.43078,20260325191229
20260325191332,1600,0.5284,0.1294,31.08404,20260325191339
20260325191442,1600,0.5284,0.1294,30.23971,20260325191449
20260325191555,1600,0.5284,0.1294,31.41547,20260325191559
20260325191705,1600,0.5284,0.1294,32.63463,20260325191709
20260325191923,2000,0.5284,0.1294,34.14182,20260325191929
20260325192031,2000,0.5284,0.1294,34.79677,20260325192039
20260325192136,2000,0.5284,0.1294,35.03613,20260325192139
20260325192240,2000,0.5284,0.1294,34.5824,20260325192249
20260325192344,2000,0.5284,0.1294,33.97347,20260325192349
20260325192448,2000,0.5285,0.1294,28.78118,20260325192449
20260325192552,2000,0.5285,0.1294,34.21546,20260325192559
20260325192656,2000,0.5285,0.1294,29.66761,20260325192659
20260325192801,2000,0.5285,0.1294,34.96643,20260325192809
20260325192906,2000,0.5285,0.1294,30.53167,20260325192909
20260325193119,2400,0.5285,0.1293,35.01772,20260325193119
20260325193220,2400,0.5285,0.1293,32.36897,20260325193229
20260325193319,2400,0.5285,0.1293,28.79959,20260325193319
20260325193418,2400,0.5285,0.1293,37.27718,20260325193419
20260325193517,2400,0.5285,0.1293,34.54163,20260325193519
20260325193617,2400,0.5285,0.1293,36.74191,20260325193619
20260325193715,2400,0.5286,0.1293,36.88395,20260325193719
20260325193814,2400,0.5286,0.1293,35.16239,20260325193819
20260325193913,2400,0.5286,0.1293,38.53448,20260325193919
20260325194010,2400,0.5286,0.1293,29.27569,20260325194019
