time,cpu_freq,hadoop_idx,cpu_idle,sda_idle
20260325154434,800,0,0.5263,0.1304
20260325154435,800,0,0.5263,0.1304
20260325154436,800,0,0.5263,0.1304
20260325154437,800,0,0.5263,0.1304
20260325154438,800,0,0.5263,0.1304
20260325154439,800,0,0.5263,0.1304
20260325154440,800,0,0.5263,0.1304
20260325154441,800,0,0.5263,0.1304
20260325154442,800,0,0.5263,0.1304
20260325154443,800,0,0.5263,0.1304
20260325154444,800,0,0.5263,0.1304
20260325154445,800,0,0.5263,0.1304
20260325154446,800,0,0.5263,0.1304
20260325154447,800,0,0.5263,0.1304
20260325154448,800,0,0.5263,0.1304
20260325154449,800,0,0.5263,0.1304
20260325154450,800,0,0.5263,0.1304
20260325154451,800,0,0.5263,0.1304
20260325154452,800,0,0.5263,0.1304
20260325154453,800,0,0.5263,0.1304
20260325154454,800,0,0.5263,0.1304
20260325154455,800,0,0.5263,0.1304
20260325154456,800,0,0.5263,0.1304
20260325154457,800,0,0.5263,0.1304
20260325154458,800,0,0.5263,0.1304
20260325154459,800,0,0.5263,0.1304
20260325154500,800,0,0.5263,0.1304
20260325154501,800,0,0.5263,0.1304
20260325154502,800,0,0.5263,0.1304
20260325154504,800,0,0.5263,0.1304
20260325154505,800,0,0.5263,0.1304
20260325154506,800,0,0.5263,0.1304
20260325154507,800,0,0.5263,0.1304
20260325154508,800,0,0.5263,0.1304
20260325154509,800,0,0.5263,0.1304
20260325154510,800,0,0.5263,0.1304
20260325154511,800,0,0.5263,0.1304
20260325154512,800,0,0.5263,0.1304
20260325154513,800,0,0.5263,0.1304
20260325154514,800,0,0.5263,0.1304
20260325154515,800,0,0.5263,0.1304
20260325154516,800,0,0.5263,0.1304
20260325154517,800,0,0.5263,0.1304
20260325154518,800,0,0.5263,0.1304
20260325154519,800,0,0.5263,0.1304
20260325154520,800,0,0.5263,0.1304
20260325154521,800,0,0.5263,0.1304
20260325154522,800,0,0.5263,0.1304
20260325154523,800,0,0.5263,0.1304
20260325154524,800,0,0.5263,0.1304
20260325154525,800,0,0.5263,0.1304
20260325154526,800,0,0.5263,0.1304
20260325154527,800,0,0.5263,0.1304
20260325154528,800,0,0.5263,0.1304
20260325154529,800,0,0.5263,0.1304
20260325154530,800,0,0.5263,0.1304
20260325154531,800,0,0.5263,0.1304
20260325154532,800,0,0.5263,0.1304
20260325154533,800,0,0.5263,0.1304
20260325154534,800,0,0.5263,0.1304
20260325154535,800,0,0.5263,0.1304
20260325154536,800,0,0.5263,0.1304
20260325154537,800,0,0.5263,0.1304
20260325154538,800,0,0.5263,0.1304
20260325154539,800,0,0.5263,0.1304
20260325154540,800,0,0.5263,0.1304
20260325154541,800,0,0.5263,0.1304
20260325154542,800,0,0.5263,0.1304
20260325154543,800,0,0.5263,0.1304
20260325154544,800,0,0.5263,0.1304
20260325154545,800,0,0.5263,0.1304
20260325154546,800,0,0.5263,0.1304
20260325154547,800,0,0.5263,0.1304
20260325154548,800,0,0.5263,0.1304
20260325154549,800,0,0.5263,0.1304
20260325154550,800,0,0.5263,0.1304
20260325154551,800,0,0.5263,0.1304
20260325154553,800,0,0.5263,0.1304
20260325154554,800,0,0.5263,0.1304
20260325154555,800,0,0.5263,0.1304
20260325154556,800,0,0.5263,0.1304
20260325154557,800,0,0.5263,0.1304
20260325154558,800,0,0.5263,0.1304
20260325154559,800,0,0.5263,0.1304
20260325154600,800,0,0.5263,0.1304
20260325154601,800,0,0.5263,0.1304
20260325154602,800,0,0.5263,0.1304
20260325154603,800,0,0.5263,0.1304
20260325154604,800,0,0.5263,0.1304
20260325154605,800,0,0.5263,0.1304
