param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,cpu_frequency,run_time
80,0.9,230,0.48,0.6,510,True,False,800,247
50,0.6,150,0.93,0.8,410,True,False,800,258
60,0.8,210,0.43,0.6,830,False,False,800,258
80,0.5,130,0.77,0.6,810,False,True,800,250
40,0.9,120,0.42,0.3,700,False,True,800,245
80,0.7,220,0.86,0.9,830,True,False,800,247
90,0.8,130,0.47,0.7,280,True,True,800,240
20,0.6,300,0.71,0.8,570,True,False,800,249
60,0.8,220,0.86,0.8,950,False,False,800,246
30,0.5,120,0.8,0.4,650,True,False,800,245
20,0.5,270,0.32,0.3,920,False,False,800,247
80,0.7,220,0.92,0.5,820,True,False,800,247
90,0.6,250,0.44,0.3,530,False,False,800,254
30,0.9,200,0.45,0.7,930,True,False,800,250
60,0.7,230,0.36,0.3,520,True,True,800,254
40,0.6,120,0.68,0.6,460,False,True,800,252
90,0.9,110,0.9,0.4,700,True,True,800,248
10,0.8,140,0.86,0.3,200,True,False,800,244
40,0.8,150,0.45,0.3,150,False,True,800,251
10,0.6,250,0.57,0.8,780,False,True,800,248
60,0.9,220,0.49,0.9,880,False,True,800,256
10,0.8,230,0.68,0.5,800,False,False,800,239
80,0.7,250,0.81,0.6,1000,True,False,800,246
20,0.7,170,0.31,0.3,130,False,False,800,246
70,0.7,250,0.64,0.3,710,False,False,800,250
50,0.8,260,0.59,0.5,910,False,False,800,241
30,0.8,120,1.0,0.7,230,False,False,800,246
20,0.5,270,0.95,0.3,910,True,False,800,255
50,0.6,160,1.0,0.9,950,True,False,800,242
80,0.7,270,0.93,0.6,460,False,False,800,246
70,0.6,240,0.83,0.8,790,True,True,800,255
10,0.7,110,0.46,0.9,430,True,True,800,251
10,0.5,190,0.84,0.3,840,True,False,800,246
70,0.6,210,0.86,0.6,780,False,True,800,249
20,0.7,190,0.38,0.6,300,False,True,800,254
20,0.5,190,0.71,0.8,320,True,True,800,248
30,0.6,200,0.67,0.4,130,True,True,800,256
20,0.9,280,0.52,0.5,710,True,True,800,256
30,0.9,200,0.46,0.5,750,True,True,800,248
90,0.5,240,0.41,0.7,820,True,False,800,249
90,0.5,220,0.75,0.7,670,False,True,800,258
60,0.8,290,0.57,0.9,390,False,True,800,248
70,0.5,220,0.39,0.6,770,False,True,800,246
30,0.5,280,0.44,0.9,940,True,False,800,248
90,0.6,100,0.35,0.5,860,True,True,800,250
20,0.7,100,0.31,0.8,610,False,False,800,246
20,0.8,180,0.98,0.3,1000,False,False,800,247
70,0.7,140,0.95,0.9,920,True,False,800,248
90,0.9,270,0.44,0.5,810,True,False,800,254
80,0.9,300,0.53,0.5,170,False,False,800,257
60,0.5,280,0.65,0.8,380,True,False,800,245
90,0.8,220,0.59,0.8,930,False,False,800,247
100,0.5,270,0.62,0.5,390,True,True,800,261
90,0.6,270,0.74,0.9,930,True,True,800,251
70,0.7,190,0.59,0.7,410,True,True,800,251
80,0.5,220,0.34,0.4,550,True,False,800,248
80,0.9,250,0.88,0.7,850,False,True,800,253
80,0.9,220,0.54,0.9,260,False,False,800,254
50,0.5,300,0.87,0.3,660,False,False,800,242
90,0.6,210,0.71,0.3,180,True,False,800,249
70,0.8,200,0.49,0.5,310,False,True,800,250
100,0.6,300,0.58,0.9,630,False,False,800,247
70,0.5,150,0.61,0.4,950,True,False,800,247
40,0.9,210,0.56,0.4,280,True,False,800,247
100,0.8,280,0.56,0.7,170,False,False,800,237
80,0.5,280,0.96,0.5,1000,False,True,800,254
20,0.8,210,0.33,0.9,110,True,False,800,245
40,0.9,220,0.77,0.8,790,False,False,800,245
50,0.7,110,0.54,0.7,140,False,False,800,247
30,0.8,240,0.96,0.5,530,True,True,800,253
20,0.7,130,0.34,0.4,870,True,False,800,252
10,0.6,100,0.52,0.6,200,True,True,800,248
70,0.7,130,0.44,0.6,750,True,True,800,256
60,0.7,230,0.35,0.4,420,False,True,800,256
50,0.7,150,0.69,0.6,700,True,True,800,253
10,0.7,280,0.49,0.9,450,False,False,800,247
90,0.6,120,0.43,0.8,480,True,True,800,252
30,0.6,300,0.44,0.3,140,False,True,800,246
80,0.5,100,0.79,0.5,710,False,False,800,242
40,0.6,100,0.75,0.3,750,True,True,800,247
90,0.6,180,0.65,0.5,110,False,True,800,252
60,0.9,260,0.5,0.5,440,True,True,800,252
30,0.6,250,0.33,0.9,120,False,True,800,254
40,0.9,200,0.81,0.6,190,False,False,800,245
50,0.8,210,0.44,0.8,810,True,False,800,254
80,0.6,250,0.36,0.5,350,False,False,800,250
20,0.8,270,0.87,0.4,510,True,True,800,250
40,0.8,200,0.84,0.8,230,False,True,800,258
10,0.7,290,0.82,0.6,710,False,True,800,252
90,0.8,130,0.85,0.8,320,False,False,800,241
70,0.7,210,0.49,0.7,800,False,False,800,244
20,0.8,140,0.39,0.9,190,False,True,800,245
100,0.5,290,0.52,0.9,960,True,False,800,249
80,0.9,160,1.0,0.8,640,False,False,800,246
20,0.7,270,0.86,0.8,320,False,True,800,241
10,0.5,200,0.32,0.7,190,False,False,800,240
70,0.9,100,0.7,0.9,350,False,False,800,241
20,0.6,230,0.93,0.5,190,True,False,800,246
50,0.7,210,0.84,0.6,420,True,True,800,246
50,0.9,150,0.83,0.9,960,True,True,800,254
80,0.9,230,0.48,0.6,510,True,False,1000,233
50,0.6,150,0.93,0.8,410,True,False,1000,236
60,0.8,210,0.43,0.6,830,False,False,1000,228
80,0.5,130,0.77,0.6,810,False,True,1000,232
40,0.9,120,0.42,0.3,700,False,True,1000,234
80,0.7,220,0.86,0.9,830,True,False,1000,235
90,0.8,130,0.47,0.7,280,True,True,1000,233
20,0.6,300,0.71,0.8,570,True,False,1000,238
60,0.8,220,0.86,0.8,950,False,False,1000,231
30,0.5,120,0.8,0.4,650,True,False,1000,238
20,0.5,270,0.32,0.3,920,False,False,1000,233
80,0.7,220,0.92,0.5,820,True,False,1000,225
90,0.6,250,0.44,0.3,530,False,False,1000,235
30,0.9,200,0.45,0.7,930,True,False,1000,230
60,0.7,230,0.36,0.3,520,True,True,1000,236
40,0.6,120,0.68,0.6,460,False,True,1000,228
90,0.9,110,0.9,0.4,700,True,True,1000,228
10,0.8,140,0.86,0.3,200,True,False,1000,225
40,0.8,150,0.45,0.3,150,False,True,1000,231
10,0.6,250,0.57,0.8,780,False,True,1000,235
60,0.9,220,0.49,0.9,880,False,True,1000,232
10,0.8,230,0.68,0.5,800,False,False,1000,228
80,0.7,250,0.81,0.6,1000,True,False,1000,233
20,0.7,170,0.31,0.3,130,False,False,1000,225
70,0.7,250,0.64,0.3,710,False,False,1000,235
50,0.8,260,0.59,0.5,910,False,False,1000,229
30,0.8,120,1.0,0.7,230,False,False,1000,228
20,0.5,270,0.95,0.3,910,True,False,1000,231
50,0.6,160,1.0,0.9,950,True,False,1000,231
80,0.7,270,0.93,0.6,460,False,False,1000,235
70,0.6,240,0.83,0.8,790,True,True,1000,233
10,0.7,110,0.46,0.9,430,True,True,1000,231
10,0.5,190,0.84,0.3,840,True,False,1000,238
70,0.6,210,0.86,0.6,780,False,True,1000,232
20,0.7,190,0.38,0.6,300,False,True,1000,235
20,0.5,190,0.71,0.8,320,True,True,1000,228
30,0.6,200,0.67,0.4,130,True,True,1000,240
20,0.9,280,0.52,0.5,710,True,True,1000,234
30,0.9,200,0.46,0.5,750,True,True,1000,238
90,0.5,240,0.41,0.7,820,True,False,1000,228
90,0.5,220,0.75,0.7,670,False,True,1000,230
60,0.8,290,0.57,0.9,390,False,True,1000,230
70,0.5,220,0.39,0.6,770,False,True,1000,235
30,0.5,280,0.44,0.9,940,True,False,1000,228
90,0.6,100,0.35,0.5,860,True,True,1000,234
20,0.7,100,0.31,0.8,610,False,False,1000,223
20,0.8,180,0.98,0.3,1000,False,False,1000,227
70,0.7,140,0.95,0.9,920,True,False,1000,233
90,0.9,270,0.44,0.5,810,True,False,1000,234
80,0.9,300,0.53,0.5,170,False,False,1000,235
60,0.5,280,0.65,0.8,380,True,False,1000,231
90,0.8,220,0.59,0.8,930,False,False,1000,231
100,0.5,270,0.62,0.5,390,True,True,1000,232
90,0.6,270,0.74,0.9,930,True,True,1000,236
70,0.7,190,0.59,0.7,410,True,True,1000,232
80,0.5,220,0.34,0.4,550,True,False,1000,228
80,0.9,250,0.88,0.7,850,False,True,1000,240
80,0.9,220,0.54,0.9,260,False,False,1000,228
50,0.5,300,0.87,0.3,660,False,False,1000,232
90,0.6,210,0.71,0.3,180,True,False,1000,226
70,0.8,200,0.49,0.5,310,False,True,1000,228
100,0.6,300,0.58,0.9,630,False,False,1000,225
70,0.5,150,0.61,0.4,950,True,False,1000,230
40,0.9,210,0.56,0.4,280,True,False,1000,228
100,0.8,280,0.56,0.7,170,False,False,1000,234
80,0.5,280,0.96,0.5,1000,False,True,1000,243
20,0.8,210,0.33,0.9,110,True,False,1000,230
40,0.9,220,0.77,0.8,790,False,False,1000,232
50,0.7,110,0.54,0.7,140,False,False,1000,229
30,0.8,240,0.96,0.5,530,True,True,1000,229
20,0.7,130,0.34,0.4,870,True,False,1000,232
10,0.6,100,0.52,0.6,200,True,True,1000,233
70,0.7,130,0.44,0.6,750,True,True,1000,226
60,0.7,230,0.35,0.4,420,False,True,1000,235
50,0.7,150,0.69,0.6,700,True,True,1000,230
10,0.7,280,0.49,0.9,450,False,False,1000,234
90,0.6,120,0.43,0.8,480,True,True,1000,228
30,0.6,300,0.44,0.3,140,False,True,1000,232
80,0.5,100,0.79,0.5,710,False,False,1000,232
40,0.6,100,0.75,0.3,750,True,True,1000,232
90,0.6,180,0.65,0.5,110,False,True,1000,229
60,0.9,260,0.5,0.5,440,True,True,1000,237
30,0.6,250,0.33,0.9,120,False,True,1000,234
40,0.9,200,0.81,0.6,190,False,False,1000,228
50,0.8,210,0.44,0.8,810,True,False,1000,236
80,0.6,250,0.36,0.5,350,False,False,1000,230
20,0.8,270,0.87,0.4,510,True,True,1000,232
40,0.8,200,0.84,0.8,230,False,True,1000,229
10,0.7,290,0.82,0.6,710,False,True,1000,233
90,0.8,130,0.85,0.8,320,False,False,1000,235
70,0.7,210,0.49,0.7,800,False,False,1000,232
20,0.8,140,0.39,0.9,190,False,True,1000,231
100,0.5,290,0.52,0.9,960,True,False,1000,234
80,0.9,160,1.0,0.8,640,False,False,1000,227
20,0.7,270,0.86,0.8,320,False,True,1000,236
10,0.5,200,0.32,0.7,190,False,False,1000,239
70,0.9,100,0.7,0.9,350,False,False,1000,227
20,0.6,230,0.93,0.5,190,True,False,1000,228
50,0.7,210,0.84,0.6,420,True,True,1000,228
50,0.9,150,0.83,0.9,960,True,True,1100,224
80,0.9,230,0.48,0.6,510,True,False,1100,220
50,0.6,150,0.93,0.8,410,True,False,1100,228
60,0.8,210,0.43,0.6,830,False,False,1100,219
80,0.5,130,0.77,0.6,810,False,True,1100,226
40,0.9,120,0.42,0.3,700,False,True,1100,223
80,0.7,220,0.86,0.9,830,True,False,1100,216
90,0.8,130,0.47,0.7,280,True,True,1100,218
20,0.6,300,0.71,0.8,570,True,False,1100,220
60,0.8,220,0.86,0.8,950,False,False,1100,217
30,0.5,120,0.8,0.4,650,True,False,1100,217
20,0.5,270,0.32,0.3,920,False,False,1100,216
80,0.7,220,0.92,0.5,820,True,False,1100,226
90,0.6,250,0.44,0.3,530,False,False,1100,216
30,0.9,200,0.45,0.7,930,True,False,1100,219
60,0.7,230,0.36,0.3,520,True,True,1100,222
40,0.6,120,0.68,0.6,460,False,True,1100,219
90,0.9,110,0.9,0.4,700,True,True,1100,220
10,0.8,140,0.86,0.3,200,True,False,1100,216
40,0.8,150,0.45,0.3,150,False,True,1100,221
10,0.6,250,0.57,0.8,780,False,True,1100,222
60,0.9,220,0.49,0.9,880,False,True,1100,229
10,0.8,230,0.68,0.5,800,False,False,1100,220
80,0.7,250,0.81,0.6,1000,True,False,1100,223
20,0.7,170,0.31,0.3,130,False,False,1100,213
70,0.7,250,0.64,0.3,710,False,False,1100,210
50,0.8,260,0.59,0.5,910,False,False,1100,222
30,0.8,120,1.0,0.7,230,False,False,1100,221
20,0.5,270,0.95,0.3,910,True,False,1100,223
50,0.6,160,1.0,0.9,950,True,False,1100,218
80,0.7,270,0.93,0.6,460,False,False,1100,220
70,0.6,240,0.83,0.8,790,True,True,1100,218
10,0.7,110,0.46,0.9,430,True,True,1100,221
10,0.5,190,0.84,0.3,840,True,False,1100,217
70,0.6,210,0.86,0.6,780,False,True,1100,226
20,0.7,190,0.38,0.6,300,False,True,1100,220
20,0.5,190,0.71,0.8,320,True,True,1100,222
30,0.6,200,0.67,0.4,130,True,True,1100,223
20,0.9,280,0.52,0.5,710,True,True,1100,222
30,0.9,200,0.46,0.5,750,True,True,1100,219
90,0.5,240,0.41,0.7,820,True,False,1100,221
90,0.5,220,0.75,0.7,670,False,True,1100,218
60,0.8,290,0.57,0.9,390,False,True,1100,226
70,0.5,220,0.39,0.6,770,False,True,1100,217
30,0.5,280,0.44,0.9,940,True,False,1100,222
90,0.6,100,0.35,0.5,860,True,True,1100,227
20,0.7,100,0.31,0.8,610,False,False,1100,220
20,0.8,180,0.98,0.3,1000,False,False,1100,213
70,0.7,140,0.95,0.9,920,True,False,1100,222
90,0.9,270,0.44,0.5,810,True,False,1100,222
80,0.9,300,0.53,0.5,170,False,False,1100,218
60,0.5,280,0.65,0.8,380,True,False,1100,217
90,0.8,220,0.59,0.8,930,False,False,1100,217
100,0.5,270,0.62,0.5,390,True,True,1100,229
90,0.6,270,0.74,0.9,930,True,True,1100,222
70,0.7,190,0.59,0.7,410,True,True,1100,219
80,0.5,220,0.34,0.4,550,True,False,1100,225
80,0.9,250,0.88,0.7,850,False,True,1100,224
80,0.9,220,0.54,0.9,260,False,False,1100,221
50,0.5,300,0.87,0.3,660,False,False,1100,219
90,0.6,210,0.71,0.3,180,True,False,1100,218
70,0.8,200,0.49,0.5,310,False,True,1100,223
100,0.6,300,0.58,0.9,630,False,False,1100,217
70,0.5,150,0.61,0.4,950,True,False,1100,216
40,0.9,210,0.56,0.4,280,True,False,1100,220
100,0.8,280,0.56,0.7,170,False,False,1100,220
80,0.5,280,0.96,0.5,1000,False,True,1100,219
20,0.8,210,0.33,0.9,110,True,False,1100,211
40,0.9,220,0.77,0.8,790,False,False,1100,214
50,0.7,110,0.54,0.7,140,False,False,1100,222
30,0.8,240,0.96,0.5,530,True,True,1100,227
20,0.7,130,0.34,0.4,870,True,False,1100,225
10,0.6,100,0.52,0.6,200,True,True,1100,216
70,0.7,130,0.44,0.6,750,True,True,1100,219
60,0.7,230,0.35,0.4,420,False,True,1100,231
50,0.7,150,0.69,0.6,700,True,True,1100,221
10,0.7,280,0.49,0.9,450,False,False,1100,218
90,0.6,120,0.43,0.8,480,True,True,1100,229
30,0.6,300,0.44,0.3,140,False,True,1100,219
80,0.5,100,0.79,0.5,710,False,False,1100,215
40,0.6,100,0.75,0.3,750,True,True,1100,220
90,0.6,180,0.65,0.5,110,False,True,1100,221
60,0.9,260,0.5,0.5,440,True,True,1100,221
30,0.6,250,0.33,0.9,120,False,True,1100,219
40,0.9,200,0.81,0.6,190,False,False,1100,232
50,0.8,210,0.44,0.8,810,True,False,1100,216
80,0.6,250,0.36,0.5,350,False,False,1100,218
20,0.8,270,0.87,0.4,510,True,True,1100,235
40,0.8,200,0.84,0.8,230,False,True,1100,229
10,0.7,290,0.82,0.6,710,False,True,1100,223
90,0.8,130,0.85,0.8,320,False,False,1100,225
70,0.7,210,0.49,0.7,800,False,False,1100,213
20,0.8,140,0.39,0.9,190,False,True,1100,215
100,0.5,290,0.52,0.9,960,True,False,1100,217
80,0.9,160,1.0,0.8,640,False,False,1100,231
20,0.7,270,0.86,0.8,320,False,True,1100,217
10,0.5,200,0.32,0.7,190,False,False,1100,227
70,0.9,100,0.7,0.9,350,False,False,1100,226
20,0.6,230,0.93,0.5,190,True,False,1100,217
50,0.7,210,0.84,0.6,420,True,True,1100,221
50,0.9,150,0.83,0.9,960,True,True,1100,229
80,0.9,230,0.48,0.6,510,True,False,1300,196
50,0.6,150,0.93,0.8,410,True,False,1300,199
60,0.8,210,0.43,0.6,830,False,False,1300,207
80,0.5,130,0.77,0.6,810,False,True,1300,195
40,0.9,120,0.42,0.3,700,False,True,1300,201
80,0.7,220,0.86,0.9,830,True,False,1300,195
90,0.8,130,0.47,0.7,280,True,True,1300,198
20,0.6,300,0.71,0.8,570,True,False,1300,196
60,0.8,220,0.86,0.8,950,False,False,1300,206
30,0.5,120,0.8,0.4,650,True,False,1300,196
20,0.5,270,0.32,0.3,920,False,False,1300,197
80,0.7,220,0.92,0.5,820,True,False,1300,201
90,0.6,250,0.44,0.3,530,False,False,1300,198
30,0.9,200,0.45,0.7,930,True,False,1300,193
60,0.7,230,0.36,0.3,520,True,True,1300,203
40,0.6,120,0.68,0.6,460,False,True,1300,198
90,0.9,110,0.9,0.4,700,True,True,1300,203
10,0.8,140,0.86,0.3,200,True,False,1300,196
40,0.8,150,0.45,0.3,150,False,True,1300,199
10,0.6,250,0.57,0.8,780,False,True,1300,199
60,0.9,220,0.49,0.9,880,False,True,1300,207
10,0.8,230,0.68,0.5,800,False,False,1300,200
80,0.7,250,0.81,0.6,1000,True,False,1300,197
20,0.7,170,0.31,0.3,130,False,False,1300,193
70,0.7,250,0.64,0.3,710,False,False,1300,204
50,0.8,260,0.59,0.5,910,False,False,1300,195
30,0.8,120,1.0,0.7,230,False,False,1300,203
20,0.5,270,0.95,0.3,910,True,False,1300,196
50,0.6,160,1.0,0.9,950,True,False,1300,199
80,0.7,270,0.93,0.6,460,False,False,1300,208
70,0.6,240,0.83,0.8,790,True,True,1300,199
10,0.7,110,0.46,0.9,430,True,True,1300,205
10,0.5,190,0.84,0.3,840,True,False,1300,196
70,0.6,210,0.86,0.6,780,False,True,1300,204
20,0.7,190,0.38,0.6,300,False,True,1300,201
20,0.5,190,0.71,0.8,320,True,True,1300,192
30,0.6,200,0.67,0.4,130,True,True,1300,201
20,0.9,280,0.52,0.5,710,True,True,1300,202
30,0.9,200,0.46,0.5,750,True,True,1300,198
90,0.5,240,0.41,0.7,820,True,False,1300,197
90,0.5,220,0.75,0.7,670,False,True,1300,194
60,0.8,290,0.57,0.9,390,False,True,1300,205
70,0.5,220,0.39,0.6,770,False,True,1300,199
30,0.5,280,0.44,0.9,940,True,False,1300,203
90,0.6,100,0.35,0.5,860,True,True,1300,196
20,0.7,100,0.31,0.8,610,False,False,1300,193
20,0.8,180,0.98,0.3,1000,False,False,1300,196
70,0.7,140,0.95,0.9,920,True,False,1300,198
90,0.9,270,0.44,0.5,810,True,False,1300,195
80,0.9,300,0.53,0.5,170,False,False,1300,200
60,0.5,280,0.65,0.8,380,True,False,1300,209
90,0.8,220,0.59,0.8,930,False,False,1300,199
100,0.5,270,0.62,0.5,390,True,True,1300,203
90,0.6,270,0.74,0.9,930,True,True,1300,198
70,0.7,190,0.59,0.7,410,True,True,1300,200
80,0.5,220,0.34,0.4,550,True,False,1300,197
80,0.9,250,0.88,0.7,850,False,True,1300,203
80,0.9,220,0.54,0.9,260,False,False,1300,199
50,0.5,300,0.87,0.3,660,False,False,1300,203
90,0.6,210,0.71,0.3,180,True,False,1300,193
70,0.8,200,0.49,0.5,310,False,True,1300,197
100,0.6,300,0.58,0.9,630,False,False,1300,195
70,0.5,150,0.61,0.4,950,True,False,1300,206
40,0.9,210,0.56,0.4,280,True,False,1300,200
100,0.8,280,0.56,0.7,170,False,False,1300,197
80,0.5,280,0.96,0.5,1000,False,True,1300,209
20,0.8,210,0.33,0.9,110,True,False,1300,193
40,0.9,220,0.77,0.8,790,False,False,1300,196
50,0.7,110,0.54,0.7,140,False,False,1300,199
30,0.8,240,0.96,0.5,530,True,True,1300,198
20,0.7,130,0.34,0.4,870,True,False,1300,205
10,0.6,100,0.52,0.6,200,True,True,1300,207
70,0.7,130,0.44,0.6,750,True,True,1300,194
