time,cpu_freq,hadoop_idx,cpu_idle,sda_idle
20241116113540,800,0,0.9799,0.028
20241116113541,800,0,0.9776,0.004
20241116113542,800,0,0.9849,0.0
20241116113543,800,0,0.9899,0.0
20241116113544,800,0,0.9874,0.0
20241116113545,800,0,0.9799,0.028
20241116113546,800,0,0.985,0.004
20241116113547,800,0,0.8488,0.0
20241116113548,800,0,0.9547,0.0
20241116113549,800,0,0.9924,0.0
20241116113550,800,0,0.9823,0.036
20241116113551,800,0,0.8831,0.0
20241116113552,800,0,0.7935,0.0
20241116113553,800,0,0.8501,0.0
20241116113554,800,0,0.2463,0.0
20241116113555,800,0,0.5576,0.024
20241116113556,800,0,0.5628,0.004
20241116113557,800,0,0.367,0.0
20241116113558,800,0,0.3002,0.0
20241116113559,800,0,0.512,0.0
20241116113600,800,0,0.3995,0.032
20241116113601,800,0,0.4791,0.004
20241116113602,800,0,0.2826,0.0
20241116113603,800,0,0.1866,0.0
20241116113604,800,0,0.3822,0.0
20241116113605,800,0,0.1892,0.032
20241116113606,800,0,0.3966,0.0
20241116113607,800,0,0.7595,0.0
20241116113608,800,0,0.4122,0.0
20241116113609,800,0,0.0201,0.012
20241116113610,800,0,0.01,0.036
20241116113611,800,0,0.0,0.096
20241116113612,800,0,0.0199,0.0
20241116113613,800,0,0.005,0.0
20241116113614,800,0,0.0,0.0
20241116113615,800,0,0.0251,0.028
20241116113616,800,0,0.0226,0.0
20241116113617,800,0,0.0375,0.0
20241116113618,800,0,0.485,0.008
20241116113619,800,0,0.3358,0.012
20241116113620,800,0,0.0025,0.036
20241116113621,800,0,0.0,0.008
20241116113622,800,0,0.0025,0.112
20241116113623,800,0,0.0477,0.008
20241116113624,800,0,0.0,0.012
20241116113625,800,0,0.0,0.032
20241116113626,800,0,0.01,0.0
20241116113627,800,0,0.0201,0.008
20241116113628,800,0,0.0175,0.02
20241116113629,800,0,0.0201,0.0
20241116113630,800,0,0.5197,0.052
20241116113631,800,0,0.8687,0.0
20241116113632,800,0,0.7036,0.004
20241116113633,800,0,0.7971,0.0
20241116113634,800,1,0.8618,0.0
20241116113635,800,1,0.9749,0.032
20241116113636,800,1,0.985,0.0
20241116113637,800,1,0.98,0.004
20241116113638,800,1,0.9874,0.0
20241116113639,800,1,0.9322,0.0
20241116113640,800,1,0.9475,0.0
20241116113641,800,1,0.9775,0.036
20241116113642,800,1,0.9949,0.004
20241116113643,800,1,0.9899,0.0
20241116113644,800,1,0.9874,0.0
20241116113645,800,1,0.9874,0.0
20241116113646,800,1,0.7971,0.024
20241116113647,800,1,0.9198,0.004
20241116113648,800,1,0.9875,0.0
20241116113649,800,1,0.9899,0.0
20241116113650,800,1,0.9875,0.0
20241116113651,800,1,0.9825,0.024
20241116113652,800,1,0.9825,0.004
20241116113653,800,1,0.995,0.0
20241116113654,800,1,0.9924,0.0
20241116113655,800,1,0.9777,0.0
20241116113656,800,1,0.9848,0.036
20241116113657,800,1,0.9875,0.004
20241116113658,800,1,0.9899,0.0
20241116113659,800,1,0.9925,0.0
20241116113700,800,1,0.9975,0.0
20241116113701,800,1,0.9924,0.024
20241116113702,800,1,0.985,0.008
20241116113703,800,1,0.985,0.0
20241116113704,800,1,0.8005,0.0
20241116113705,800,1,0.875,0.004
20241116113706,800,1,0.9849,0.036
20241116113707,800,1,0.9875,0.0
20241116113708,800,1,0.9725,0.108
20241116113709,800,1,0.9875,0.0
20241116113710,800,1,0.7178,0.004
20241116113711,800,1,0.449,0.032
20241116113712,800,1,0.3155,0.0
20241116113713,800,1,0.389,0.036
20241116113714,800,1,0.5192,0.0
20241116113715,800,1,0.5047,0.084
20241116113716,800,1,0.1209,0.0
20241116113717,800,1,0.5291,0.0
20241116113718,800,1,0.7273,0.004
20241116113719,800,1,0.99,0.0
20241116113720,800,1,0.9874,0.0
20241116113721,800,1,0.9676,0.056
20241116113722,800,1,0.9875,0.0
20241116113723,800,1,0.7635,0.008
20241116113724,800,1,0.4123,0.008
20241116113725,800,1,0.2809,0.0
20241116113726,800,1,0.5012,0.036
20241116113727,800,1,0.56,0.0
20241116113728,800,1,0.3325,0.0
20241116113729,800,1,0.3938,0.0
20241116113730,800,1,0.1597,0.0
20241116113731,800,1,0.8114,0.0
20241116113732,800,1,0.8287,0.456
20241116113733,800,1,0.9799,0.004
20241116113734,800,1,0.9799,0.0
20241116113735,800,1,0.9874,0.0
20241116113736,800,1,0.9698,0.0
20241116113737,800,1,0.9799,0.0
